file	accession	organism	n_contigs	total_len	domain	mag	n50	Completeness	Contamination	genome	n_qc_pass	n	qc_rate_current	mean_cov	med_cov	max_cov
GCA_041389205.1_ASM4138920v1_genomic.fna	GCA_041389205.1	Nitrospirales bacterium (bacteria)	196	4574693	Bacteria	GCA_041389205.1_ASM4138920v1_genomic	77310	86.46	7.22	GCA_041389205.1_ASM4138920v1_genomic	2	9	0.2222222222222222	7.363762500555556	8.82432274	13.51043625
GCA_041389225.1_ASM4138922v1_genomic.fna	GCA_041389225.1	Candidatus Doudnabacteria bacterium (bacteria)	15	794984	Bacteria	GCA_041389225.1_ASM4138922v1_genomic	74977	98.59	0.42	GCA_041389225.1_ASM4138922v1_genomic	0	9	0.0	2.1582825736666664	1.93012115	3.349999314
GCA_041389245.1_ASM4138924v1_genomic.fna	GCA_041389245.1	Nitrospirales bacterium (bacteria)	62	3830247	Bacteria	GCA_041389245.1_ASM4138924v1_genomic	99091	90.27	0.77	GCA_041389245.1_ASM4138924v1_genomic	0	9	0.0	4.169656488	3.029941848	8.071359658
GCA_041389265.1_ASM4138926v1_genomic.fna	GCA_041389265.1	Nitrospirales bacterium (bacteria)	67	3720068	Bacteria	GCA_041389265.1_ASM4138926v1_genomic	109354	92.9	2.92	GCA_041389265.1_ASM4138926v1_genomic	1	9	0.1111111111111111	5.233400628888889	4.597639953	10.31698634
GCA_041389285.1_ASM4138928v1_genomic.fna	GCA_041389285.1	Nitrospira sp. (bacteria)	37	3884724	Bacteria	GCA_041389285.1_ASM4138928v1_genomic	276263	94.04	0.99	GCA_041389285.1_ASM4138928v1_genomic	0	9	0.0	3.260232780777778	2.689473332	6.11644588
GCA_041389305.1_ASM4138930v1_genomic.fna	GCA_041389305.1	Nitrospira sp. (bacteria)	88	3249269	Bacteria	GCA_041389305.1_ASM4138930v1_genomic	216551	62.01	1.33	GCA_041389305.1_ASM4138930v1_genomic	0	9	0.0	3.7570138386666665	3.023150096	8.846516721
GCA_041389325.1_ASM4138932v1_genomic.fna	GCA_041389325.1	Nitrospirales bacterium (bacteria)	2	3776368	Bacteria	GCA_041389325.1_ASM4138932v1_genomic	3774741	98.45	0.43	GCA_041389325.1_ASM4138932v1_genomic	0	9	0.0	9.094965273222222	3.399594656	26.83304534
GCA_041389345.1_ASM4138934v1_genomic.fna	GCA_041389345.1	Nitrospira sp. (bacteria)	1	4146961	Bacteria	GCA_041389345.1_ASM4138934v1_genomic	4146961	100.0	0.76	GCA_041389345.1_ASM4138934v1_genomic	0	9	0.0	11.587881057222223	3.580172762	40.54204753
GCA_041389365.1_ASM4138936v1_genomic.fna	GCA_041389365.1	Nitrospira sp. (bacteria)	244	4602434	Bacteria	GCA_041389365.1_ASM4138936v1_genomic	46165	86.99	4.57	GCA_041389365.1_ASM4138936v1_genomic	1	9	0.1111111111111111	10.639498414666667	4.177356755	26.37116656
GCA_041389385.1_ASM4138938v1_genomic.fna	GCA_041389385.1	Nitrospira sp. (bacteria)	47	4316898	Bacteria	GCA_041389385.1_ASM4138938v1_genomic	283193	99.72	5.56	GCA_041389385.1_ASM4138938v1_genomic	2	9	0.2222222222222222	33.63185317144445	6.658826867	103.254059
GCA_041389405.1_ASM4138940v1_genomic.fna	GCA_041389405.1	Myxococcota bacterium (bacteria)	154	4691095	Bacteria	GCA_041389405.1_ASM4138940v1_genomic	55104	56.18	1.63	GCA_041389405.1_ASM4138940v1_genomic	0	9	0.0	2.400240576	2.314330104	3.217034135
GCA_041389425.1_ASM4138942v1_genomic.fna	GCA_041389425.1	Myxococcota bacterium (bacteria)	78	5970066	Bacteria	GCA_041389425.1_ASM4138942v1_genomic	147814	92.28	2.61	GCA_041389425.1_ASM4138942v1_genomic	0	9	0.0	4.223079814	3.309901493	7.743376753
GCA_041389445.1_ASM4138944v1_genomic.fna	GCA_041389445.1	Myxococcota bacterium (bacteria)	19	5834640	Bacteria	GCA_041389445.1_ASM4138944v1_genomic	641634	87.98	1.82	GCA_041389445.1_ASM4138944v1_genomic	0	9	0.0	2.962963332444444	2.70601898	5.773806905
GCA_041389465.1_ASM4138946v1_genomic.fna	GCA_041389465.1	Myxococcota bacterium (bacteria)	28	5959428	Bacteria	GCA_041389465.1_ASM4138946v1_genomic	423026	93.04	1.57	GCA_041389465.1_ASM4138946v1_genomic	0	9	0.0	2.5713409005555556	2.421096017	4.085413701
GCA_041389485.1_ASM4138948v1_genomic.fna	GCA_041389485.1	Myxococcota bacterium (bacteria)	94	3676882	Bacteria	GCA_041389485.1_ASM4138948v1_genomic	63964	55.98	1.68	GCA_041389485.1_ASM4138948v1_genomic	0	9	0.0	2.6710937885555555	2.029256432	4.399553433
GCA_041389495.1_ASM4138949v1_genomic.fna	GCA_041389495.1	Myxococcota bacterium (bacteria)	11	5138570	Bacteria	GCA_041389495.1_ASM4138949v1_genomic	1288955	96.54	2.92	GCA_041389495.1_ASM4138949v1_genomic	0	9	0.0	3.438987918777778	3.833650915	5.153288249
GCA_041389525.1_ASM4138952v1_genomic.fna	GCA_041389525.1	Myxococcota bacterium (bacteria)	126	6975475	Bacteria	GCA_041389525.1_ASM4138952v1_genomic	93940	92.23	0.97	GCA_041389525.1_ASM4138952v1_genomic	0	9	0.0	3.172172481	3.2935172	4.993816147
GCA_041389545.1_ASM4138954v1_genomic.fna	GCA_041389545.1	Myxococcota bacterium (bacteria)	203	8559843	Bacteria	GCA_041389545.1_ASM4138954v1_genomic	107756	70.92	2.47	GCA_041389545.1_ASM4138954v1_genomic	0	9	0.0	2.789205388	2.654292543	4.10521888
GCA_041389565.1_ASM4138956v1_genomic.fna	GCA_041389565.1	Myxococcota bacterium (bacteria)	49	9075512	Bacteria	GCA_041389565.1_ASM4138956v1_genomic	263826	94.25	2.91	GCA_041389565.1_ASM4138956v1_genomic	0	9	0.0	2.8611579952222224	2.256178138	4.889404377
GCA_041389585.1_ASM4138958v1_genomic.fna	GCA_041389585.1	Polyangiales bacterium (bacteria)	100	7933929	Bacteria	GCA_041389585.1_ASM4138958v1_genomic	181519	97.33	1.08	GCA_041389585.1_ASM4138958v1_genomic	0	9	0.0	4.261603206555556	4.628278038	5.966236454
GCA_041389605.1_ASM4138960v1_genomic.fna	GCA_041389605.1	Polyangiales bacterium (bacteria)	41	2328666	Bacteria	GCA_041389605.1_ASM4138960v1_genomic	116050	55.33	1.28	GCA_041389605.1_ASM4138960v1_genomic	0	9	0.0	1.8906430964444445	1.745430579	2.666687694
GCA_041389625.1_ASM4138962v1_genomic.fna	GCA_041389625.1	Polyangiales bacterium (bacteria)	59	3842679	Bacteria	GCA_041389625.1_ASM4138962v1_genomic	106367	79.05	0.14	GCA_041389625.1_ASM4138962v1_genomic	0	9	0.0	2.295289380111111	1.955631508	3.859480725
GCA_041389635.1_ASM4138963v1_genomic.fna	GCA_041389635.1	Sandaracinaceae bacterium (bacteria)	209	6761104	Bacteria	GCA_041389635.1_ASM4138963v1_genomic	50503	57.94	2.79	GCA_041389635.1_ASM4138963v1_genomic	0	9	0.0	2.2841305419999998	2.272837998	2.91391531
GCA_041389665.1_ASM4138966v1_genomic.fna	GCA_041389665.1	Polyangiales bacterium (bacteria)	375	8746869	Bacteria	GCA_041389665.1_ASM4138966v1_genomic	50134	83.07	1.21	GCA_041389665.1_ASM4138966v1_genomic	0	9	0.0	2.6444495055555555	2.379811328	4.77012267
GCA_041389685.1_ASM4138968v1_genomic.fna	GCA_041389685.1	Polyangiaceae bacterium (bacteria)	86	12335026	Bacteria	GCA_041389685.1_ASM4138968v1_genomic	373517	98.76	5.06	GCA_041389685.1_ASM4138968v1_genomic	0	9	0.0	3.059967801888889	2.411417362	5.150165013
GCA_041389705.1_ASM4138970v1_genomic.fna	GCA_041389705.1	Polyangiaceae bacterium (bacteria)	398	11511144	Bacteria	GCA_041389705.1_ASM4138970v1_genomic	55380	88.86	4.88	GCA_041389705.1_ASM4138970v1_genomic	2	9	0.2222222222222222	2.9642268636666667	2.605650103	5.082958316
GCA_041389725.1_ASM4138972v1_genomic.fna	GCA_041389725.1	Polyangiaceae bacterium (bacteria)	29	9687657	Bacteria	GCA_041389725.1_ASM4138972v1_genomic	782159	98.87	1.21	GCA_041389725.1_ASM4138972v1_genomic	1	9	0.1111111111111111	4.392268659555556	3.172083864	9.686440568
GCA_041389745.1_ASM4138974v1_genomic.fna	GCA_041389745.1	Polyangiaceae bacterium (bacteria)	73	8497744	Bacteria	GCA_041389745.1_ASM4138974v1_genomic	259201	91.18	4.57	GCA_041389745.1_ASM4138974v1_genomic	0	9	0.0	3.0407502798888886	2.654451149	5.726470167
GCA_041389765.1_ASM4138976v1_genomic.fna	GCA_041389765.1	Polyangiaceae bacterium (bacteria)	417	12308045	Bacteria	GCA_041389765.1_ASM4138976v1_genomic	58968	97.4	4.47	GCA_041389765.1_ASM4138976v1_genomic	3	9	0.3333333333333333	2.3769822937777776	2.349741551	2.960699727
GCA_041389785.1_ASM4138978v1_genomic.fna	GCA_041389785.1	Polyangiaceae bacterium (bacteria)	30	8541571	Bacteria	GCA_041389785.1_ASM4138978v1_genomic	679916	95.89	0.68	GCA_041389785.1_ASM4138978v1_genomic	0	9	0.0	4.522923018777778	3.835623607	11.90037984
GCA_041389805.1_ASM4138980v1_genomic.fna	GCA_041389805.1	Polyangiaceae bacterium (bacteria)	149	8599012	Bacteria	GCA_041389805.1_ASM4138980v1_genomic	148180	90.98	3.5	GCA_041389805.1_ASM4138980v1_genomic	1	9	0.1111111111111111	2.5488080593333335	2.536404483	3.561158809
GCA_041389825.1_ASM4138982v1_genomic.fna	GCA_041389825.1	Polyangiales bacterium (bacteria)	118	7198164	Bacteria	GCA_041389825.1_ASM4138982v1_genomic	128680	76.42	1.38	GCA_041389825.1_ASM4138982v1_genomic	0	9	0.0	2.6358571823333334	2.545929357	3.937088231
GCA_041389845.1_ASM4138984v1_genomic.fna	GCA_041389845.1	Nannocystaceae bacterium (bacteria)	204	9265007	Bacteria	GCA_041389845.1_ASM4138984v1_genomic	80993	66.89	0.87	GCA_041389845.1_ASM4138984v1_genomic	1	9	0.1111111111111111	3.0514817875555553	3.15259281	4.526753306
GCA_041389865.1_ASM4138986v1_genomic.fna	GCA_041389865.1	Nannocystaceae bacterium (bacteria)	251	6022054	Bacteria	GCA_041389865.1_ASM4138986v1_genomic	36490	62.62	0.38	GCA_041389865.1_ASM4138986v1_genomic	0	9	0.0	2.590767655111111	2.738198134	3.621704116
GCA_041389885.1_ASM4138988v1_genomic.fna	GCA_041389885.1	Polyangiales bacterium (bacteria)	87	6862027	Bacteria	GCA_041389885.1_ASM4138988v1_genomic	180884	81.16	2.33	GCA_041389885.1_ASM4138988v1_genomic	1	9	0.1111111111111111	2.4128936948888886	2.368531741	3.938965437
GCA_041389905.1_ASM4138990v1_genomic.fna	GCA_041389905.1	Nannocystaceae bacterium (bacteria)	139	8174406	Bacteria	GCA_041389905.1_ASM4138990v1_genomic	96690	79.71	1.91	GCA_041389905.1_ASM4138990v1_genomic	0	9	0.0	3.565905876222222	2.630770092	7.044564761
GCA_041389925.1_ASM4138992v1_genomic.fna	GCA_041389925.1	Kofleriaceae bacterium (bacteria)	18	7973570	Bacteria	GCA_041389925.1_ASM4138992v1_genomic	755846	92.73	1.42	GCA_041389925.1_ASM4138992v1_genomic	0	9	0.0	6.999989916222222	4.076126594	20.08459135
GCA_041389945.1_ASM4138994v1_genomic.fna	GCA_041389945.1	Kofleriaceae bacterium (bacteria)	76	5003352	Bacteria	GCA_041389945.1_ASM4138994v1_genomic	137253	78.03	2.47	GCA_041389945.1_ASM4138994v1_genomic	0	9	0.0	2.5013375545555556	2.312370837	4.721444845
GCA_041389965.1_ASM4138996v1_genomic.fna	GCA_041389965.1	Kofleriaceae bacterium (bacteria)	41	7702972	Bacteria	GCA_041389965.1_ASM4138996v1_genomic	326305	92.5	1.18	GCA_041389965.1_ASM4138996v1_genomic	0	9	0.0	2.772397597222222	2.506880483	4.859065824
GCA_041389985.1_ASM4138998v1_genomic.fna	GCA_041389985.1	bacterium (bacteria)	91	7848303	Bacteria	GCA_041389985.1_ASM4138998v1_genomic	150251	90.38	0.58	GCA_041389985.1_ASM4138998v1_genomic	0	9	0.0	2.411053643888889	2.319640896	3.137960172
GCA_041390005.1_ASM4139000v1_genomic.fna	GCA_041390005.1	bacterium (bacteria)	230	6047378	Bacteria	GCA_041390005.1_ASM4139000v1_genomic	49893	57.02	0.36	GCA_041390005.1_ASM4139000v1_genomic	0	9	0.0	2.464048398666667	2.417246823	2.975730324
GCA_041390025.1_ASM4139002v1_genomic.fna	GCA_041390025.1	bacterium (bacteria)	61	5441944	Bacteria	GCA_041390025.1_ASM4139002v1_genomic	145773	87.04	2.18	GCA_041390025.1_ASM4139002v1_genomic	0	9	0.0	1.9332510823333335	1.784426426	2.992536039
GCA_041390045.1_ASM4139004v1_genomic.fna	GCA_041390045.1	bacterium (bacteria)	272	8521944	Bacteria	GCA_041390045.1_ASM4139004v1_genomic	64895	73.34	7.84	GCA_041390045.1_ASM4139004v1_genomic	0	9	0.0	3.232795413222222	2.320608133	6.781378506
GCA_041390065.1_ASM4139006v1_genomic.fna	GCA_041390065.1	Candidatus Krumholzibacteriia bacterium (bacteria)	37	4233658	Bacteria	GCA_041390065.1_ASM4139006v1_genomic	259993	84.83	2.33	GCA_041390065.1_ASM4139006v1_genomic	0	9	0.0	2.037115553888889	1.80586789	3.501351733
GCA_041390085.1_ASM4139008v1_genomic.fna	GCA_041390085.1	Candidatus Krumholzibacteriia bacterium (bacteria)	16	3743328	Bacteria	GCA_041390085.1_ASM4139008v1_genomic	396185	99.66	0.19	GCA_041390085.1_ASM4139008v1_genomic	0	9	0.0	6.513084255888889	4.0775776	15.07915504
GCA_041390105.1_ASM4139010v1_genomic.fna	GCA_041390105.1	Gemmatimonadota bacterium (bacteria)	8	4674153	Bacteria	GCA_041390105.1_ASM4139010v1_genomic	940639	95.69	3.65	GCA_041390105.1_ASM4139010v1_genomic	0	9	0.0	10.020650119222221	5.55772978	31.99742775
GCA_041390125.1_ASM4139012v1_genomic.fna	GCA_041390125.1	Gemmatimonadota bacterium (bacteria)	43	5143487	Bacteria	GCA_041390125.1_ASM4139012v1_genomic	310828	100.0	3.03	GCA_041390125.1_ASM4139012v1_genomic	0	9	0.0	4.602339584999999	3.196801269	14.83788365
GCA_041390145.1_ASM4139014v1_genomic.fna	GCA_041390145.1	Gemmatimonadales bacterium (bacteria)	26	2983973	Bacteria	GCA_041390145.1_ASM4139014v1_genomic	253077	97.83	0.77	GCA_041390145.1_ASM4139014v1_genomic	0	9	0.0	2.592969135333333	2.242012986	4.825176629
GCA_041390165.1_ASM4139016v1_genomic.fna	GCA_041390165.1	Gemmatimonadales bacterium (bacteria)	39	3274718	Bacteria	GCA_041390165.1_ASM4139016v1_genomic	193701	98.53	1.7	GCA_041390165.1_ASM4139016v1_genomic	0	9	0.0	7.677839991444445	7.129491733	15.21980578
GCA_041390185.1_ASM4139018v1_genomic.fna	GCA_041390185.1	Eubacteriales bacterium (firmicutes)	112	1835157	Bacteria	GCA_041390185.1_ASM4139018v1_genomic	28317	53.24	4.67	GCA_041390185.1_ASM4139018v1_genomic	0	9	0.0	2.846731276222222	2.451605799	6.690247762
GCA_041390205.1_ASM4139020v1_genomic.fna	GCA_041390205.1	Gemmatimonadales bacterium (bacteria)	138	5219511	Bacteria	GCA_041390205.1_ASM4139020v1_genomic	85753	75.04	2.29	GCA_041390205.1_ASM4139020v1_genomic	0	9	0.0	2.5145479088888885	2.219751102	4.502157087
GCA_041390225.1_ASM4139022v1_genomic.fna	GCA_041390225.1	Gemmatimonadales bacterium (bacteria)	126	3214659	Bacteria	GCA_041390225.1_ASM4139022v1_genomic	57023	45.51	1.41	GCA_041390225.1_ASM4139022v1_genomic	0	9	0.0	2.789854266222222	2.615558837	4.105172885
GCA_041390245.1_ASM4139024v1_genomic.fna	GCA_041390245.1	Eubacteriales bacterium (firmicutes)	7	1557750	Bacteria	GCA_041390245.1_ASM4139024v1_genomic	241942	98.51	0.08	GCA_041390245.1_ASM4139024v1_genomic	0	9	0.0	3.459504822111111	2.873165056	8.082300641
GCA_041390265.1_ASM4139026v1_genomic.fna	GCA_041390265.1	Eubacteriales bacterium (firmicutes)	166	2130361	Bacteria	GCA_041390265.1_ASM4139026v1_genomic	26688	63.69	4.75	GCA_041390265.1_ASM4139026v1_genomic	0	9	0.0	2.858544742888889	2.281998638	7.074718709
GCA_041390285.1_ASM4139028v1_genomic.fna	GCA_041390285.1	Thermodesulfobacteriota bacterium (bacteria)	26	2513586	Bacteria	GCA_041390285.1_ASM4139028v1_genomic	178312	84.24	1.25	GCA_041390285.1_ASM4139028v1_genomic	0	9	0.0	6.202302066444444	7.003138816	13.15096449
GCA_041390305.1_ASM4139030v1_genomic.fna	GCA_041390305.1	Candidatus Eiseniibacteriota bacterium (bacteria)	90	6387176	Bacteria	GCA_041390305.1_ASM4139030v1_genomic	169691	86.08	0.28	GCA_041390305.1_ASM4139030v1_genomic	0	9	0.0	2.0051395224444444	1.925849185	2.5370072
GCA_041390325.1_ASM4139032v1_genomic.fna	GCA_041390325.1	Candidatus Eiseniibacteriota bacterium (bacteria)	106	4769425	Bacteria	GCA_041390325.1_ASM4139032v1_genomic	77015	48.65	0.99	GCA_041390325.1_ASM4139032v1_genomic	0	9	0.0	2.4698068202222223	2.018306798	4.392012118
GCA_041390345.1_ASM4139034v1_genomic.fna	GCA_041390345.1	Syntrophotaleaceae bacterium (bacteria)	65	2457895	Bacteria	GCA_041390345.1_ASM4139034v1_genomic	61842	52.6	1.63	GCA_041390345.1_ASM4139034v1_genomic	0	9	0.0	3.4382347648888887	3.346313117	4.896685179
GCA_041390365.1_ASM4139036v1_genomic.fna	GCA_041390365.1	Syntrophotaleaceae bacterium (bacteria)	10	4234159	Bacteria	GCA_041390365.1_ASM4139036v1_genomic	1196977	100.0	4.04	GCA_041390365.1_ASM4139036v1_genomic	0	9	0.0	4.243615948888889	3.332516599	13.61917321
GCA_041390385.1_ASM4139038v1_genomic.fna	GCA_041390385.1	Desulfobacterales bacterium (bacteria)	142	2398695	Bacteria	GCA_041390385.1_ASM4139038v1_genomic	29076	51.26	2.39	GCA_041390385.1_ASM4139038v1_genomic	0	9	0.0	4.196672852666667	3.822375135	7.592107034
GCA_041390405.1_ASM4139040v1_genomic.fna	GCA_041390405.1	Desulfobacterales bacterium (bacteria)	159	2411560	Bacteria	GCA_041390405.1_ASM4139040v1_genomic	25852	51.26	1.65	GCA_041390405.1_ASM4139040v1_genomic	0	9	0.0	2.426986372	1.9602690465000001	4.803864937
GCA_041390425.1_ASM4139042v1_genomic.fna	GCA_041390425.1	Desulfobacterales bacterium (bacteria)	170	2435105	Bacteria	GCA_041390425.1_ASM4139042v1_genomic	31349	46.64	2.21	GCA_041390425.1_ASM4139042v1_genomic	0	9	0.0	2.686859452111111	2.634189428	4.932730925
GCA_041390445.1_ASM4139044v1_genomic.fna	GCA_041390445.1	Desulfobacterales bacterium (bacteria)	154	2641009	Bacteria	GCA_041390445.1_ASM4139044v1_genomic	31313	50.25	3.26	GCA_041390445.1_ASM4139044v1_genomic	1	9	0.1111111111111111	2.50070383875	2.3820485280000003	4.769287029
GCA_041390465.1_ASM4139046v1_genomic.fna	GCA_041390465.1	Desulfobacterales bacterium (bacteria)	210	5681056	Bacteria	GCA_041390465.1_ASM4139046v1_genomic	51050	63.98	0.94	GCA_041390465.1_ASM4139046v1_genomic	0	9	0.0	3.4676477798888885	2.708866041	10.00696307
GCA_041390485.1_ASM4139048v1_genomic.fna	GCA_041390485.1	Deinococcales bacterium (bacteria)	86	2774151	Bacteria	GCA_041390485.1_ASM4139048v1_genomic	49172	51.16	0.33	GCA_041390485.1_ASM4139048v1_genomic	0	9	0.0	2.09133267825	2.0723878765	2.885425896
GCA_041390505.1_ASM4139050v1_genomic.fna	GCA_041390505.1	Vampirovibrionales bacterium (bacteria)	39	2700670	Bacteria	GCA_041390505.1_ASM4139050v1_genomic	98106	63.87	1.32	GCA_041390505.1_ASM4139050v1_genomic	0	9	0.0	2.284947599777778	2.078414723	3.466795128
GCA_041390515.1_ASM4139051v1_genomic.fna	GCA_041390515.1	Deinococcales bacterium (bacteria)	32	4514138	Bacteria	GCA_041390515.1_ASM4139051v1_genomic	217252	93.57	0.5	GCA_041390515.1_ASM4139051v1_genomic	0	9	0.0	1.9617480957777778	1.809641935	3.994288714
GCA_041390525.1_ASM4139052v1_genomic.fna	GCA_041390525.1	Cyanobacteriota/Melainabacteria group bacterium (bacteria)	106	5012358	Bacteria	GCA_041390525.1_ASM4139052v1_genomic	80283	73.51	2.52	GCA_041390525.1_ASM4139052v1_genomic	0	9	0.0	2.1052697595555556	2.134431063	2.583246876
GCA_041390565.1_ASM4139056v1_genomic.fna	GCA_041390565.1	Cyanobacteriota/Melainabacteria group bacterium (bacteria)	112	4121426	Bacteria	GCA_041390565.1_ASM4139056v1_genomic	53964	65.04	2.24	GCA_041390565.1_ASM4139056v1_genomic	0	9	0.0	1.901238362888889	1.994576608	2.319594609
GCA_041390585.1_ASM4139058v1_genomic.fna	GCA_041390585.1	Dehalococcoidia bacterium (GNS bacteria)	41	3502338	Bacteria	GCA_041390585.1_ASM4139058v1_genomic	237836	93.53	4.82	GCA_041390585.1_ASM4139058v1_genomic	0	9	0.0	3.4842996654444445	2.808756894	8.133955179
GCA_041390605.1_ASM4139060v1_genomic.fna	GCA_041390605.1	Chloroflexota bacterium (GNS bacteria)	83	2843325	Bacteria	GCA_041390605.1_ASM4139060v1_genomic	67084	36.73	0.32	GCA_041390605.1_ASM4139060v1_genomic	0	9	0.0	2.108153253111111	2.077175936	2.899144669
GCA_041390625.1_ASM4139062v1_genomic.fna	GCA_041390625.1	Dehalococcoidia bacterium (GNS bacteria)	32	3284008	Bacteria	GCA_041390625.1_ASM4139062v1_genomic	204406	90.65	3.07	GCA_041390625.1_ASM4139062v1_genomic	0	9	0.0	4.230930313333333	3.236253098	12.60839202
GCA_041390645.1_ASM4139064v1_genomic.fna	GCA_041390645.1	Dehalococcoidia bacterium (GNS bacteria)	9	3495618	Bacteria	GCA_041390645.1_ASM4139064v1_genomic	2949603	96.06	2.3	GCA_041390645.1_ASM4139064v1_genomic	1	9	0.1111111111111111	2.0791727112222222	1.971015275	3.689795075
GCA_041390665.1_ASM4139066v1_genomic.fna	GCA_041390665.1	Cyanobacteriota/Melainabacteria group bacterium (bacteria)	151	6563028	Bacteria	GCA_041390665.1_ASM4139066v1_genomic	86193	94.02	8.15	GCA_041390665.1_ASM4139066v1_genomic	3	9	0.3333333333333333	2.3644128118888887	2.372552842	3.064298769
GCA_041390685.1_ASM4139068v1_genomic.fna	GCA_041390685.1	Dehalococcoidia bacterium (GNS bacteria)	1	2615142	Bacteria	GCA_041390685.1_ASM4139068v1_genomic	2615142	99.19	0.51	GCA_041390685.1_ASM4139068v1_genomic	0	9	0.0	2.5629860440000005	2.13019346	4.886210797
GCA_041390705.1_ASM4139070v1_genomic.fna	GCA_041390705.1	Thermomicrobiales bacterium (bacteria)	2	1317534	Bacteria	GCA_041390705.1_ASM4139070v1_genomic	1312267	74.1	0.44	GCA_041390705.1_ASM4139070v1_genomic	0	9	0.0	1.6427773332222222	1.616706104	2.17979646
GCA_041390725.1_ASM4139072v1_genomic.fna	GCA_041390725.1	Thermomicrobiales bacterium (bacteria)	120	2946280	Bacteria	GCA_041390725.1_ASM4139072v1_genomic	50150	62.89	2.35	GCA_041390725.1_ASM4139072v1_genomic	0	9	0.0	2.088418240555556	1.925578667	3.154414898
GCA_041390745.1_ASM4139074v1_genomic.fna	GCA_041390745.1	Thermomicrobiales bacterium (bacteria)	43	4774370	Bacteria	GCA_041390745.1_ASM4139074v1_genomic	210816	87.34	3.55	GCA_041390745.1_ASM4139074v1_genomic	0	9	0.0	3.1191831825555556	2.685864764	7.465382291
GCA_041390765.1_ASM4139076v1_genomic.fna	GCA_041390765.1	Thermomicrobiales bacterium (bacteria)	59	3788355	Bacteria	GCA_041390765.1_ASM4139076v1_genomic	129268	73.87	1.44	GCA_041390765.1_ASM4139076v1_genomic	0	9	0.0	2.1684028717777775	2.207771466	2.834616393
GCA_041390785.1_ASM4139078v1_genomic.fna	GCA_041390785.1	Thermomicrobiales bacterium (bacteria)	188	3015329	Bacteria	GCA_041390785.1_ASM4139078v1_genomic	47945	59.59	2.62	GCA_041390785.1_ASM4139078v1_genomic	0	9	0.0	2.2026616822222223	2.045513282	3.083615636
