mag	n50
GCA_041393375.1_ASM4139337v1_genomic	102427
GCA_041393395.1_ASM4139339v1_genomic	973162
GCA_041393415.1_ASM4139341v1_genomic	307989
GCA_041393435.1_ASM4139343v1_genomic	211005
GCA_041393445.1_ASM4139344v1_genomic	716911
GCA_041393475.1_ASM4139347v1_genomic	200614
GCA_041393495.1_ASM4139349v1_genomic	136181
GCA_041393515.1_ASM4139351v1_genomic	545228
GCA_041393535.1_ASM4139353v1_genomic	510206
GCA_041393555.1_ASM4139355v1_genomic	171863
GCA_041393575.1_ASM4139357v1_genomic	367549
GCA_041393595.1_ASM4139359v1_genomic	99784
GCA_041393615.1_ASM4139361v1_genomic	168574
GCA_041393635.1_ASM4139363v1_genomic	76918
GCA_041393655.1_ASM4139365v1_genomic	137674
GCA_041393675.1_ASM4139367v1_genomic	286309
GCA_041393695.1_ASM4139369v1_genomic	822549
GCA_041393715.1_ASM4139371v1_genomic	345382
GCA_041393735.1_ASM4139373v1_genomic	313204
GCA_041393755.1_ASM4139375v1_genomic	69646
GCA_041393775.1_ASM4139377v1_genomic	454442
GCA_041393795.1_ASM4139379v1_genomic	95715
GCA_041393815.1_ASM4139381v1_genomic	891596
GCA_041393835.1_ASM4139383v1_genomic	1090044
GCA_041393855.1_ASM4139385v1_genomic	546389
GCA_041393875.1_ASM4139387v1_genomic	5477455
GCA_041393895.1_ASM4139389v1_genomic	156022
GCA_041393925.1_ASM4139392v1_genomic	53141
GCA_041393945.1_ASM4139394v1_genomic	1181606
GCA_041393965.1_ASM4139396v1_genomic	775741
GCA_041393985.1_ASM4139398v1_genomic	77221
GCA_041394005.1_ASM4139400v1_genomic	123050
GCA_041394025.1_ASM4139402v1_genomic	1605800
GCA_041394045.1_ASM4139404v1_genomic	100728
GCA_041394065.1_ASM4139406v1_genomic	229041
GCA_041394085.1_ASM4139408v1_genomic	145073
GCA_041394105.1_ASM4139410v1_genomic	303794
GCA_041394125.1_ASM4139412v1_genomic	213877
GCA_041394145.1_ASM4139414v1_genomic	178687
GCA_041394165.1_ASM4139416v1_genomic	376623
GCA_041394185.1_ASM4139418v1_genomic	1239582
GCA_041394205.1_ASM4139420v1_genomic	44938
GCA_041394225.1_ASM4139422v1_genomic	93514
GCA_041394245.1_ASM4139424v1_genomic	2946468
GCA_041394265.1_ASM4139426v1_genomic	5081789
GCA_041394285.1_ASM4139428v1_genomic	263656
GCA_041394305.1_ASM4139430v1_genomic	160208
GCA_041394325.1_ASM4139432v1_genomic	3044961
GCA_041394345.1_ASM4139434v1_genomic	110274
GCA_041394365.1_ASM4139436v1_genomic	273364
GCA_041394385.1_ASM4139438v1_genomic	1135141
GCA_041394405.1_ASM4139440v1_genomic	334898
GCA_041394425.1_ASM4139442v1_genomic	277163
GCA_041394445.1_ASM4139444v1_genomic	149448
GCA_041394465.1_ASM4139446v1_genomic	334811
GCA_041394485.1_ASM4139448v1_genomic	89919
GCA_041394505.1_ASM4139450v1_genomic	89580
GCA_041394525.1_ASM4139452v1_genomic	3480684
GCA_041394545.1_ASM4139454v1_genomic	567837
GCA_041394565.1_ASM4139456v1_genomic	123966
GCA_041394585.1_ASM4139458v1_genomic	82205
GCA_041394605.1_ASM4139460v1_genomic	232406
GCA_041394625.1_ASM4139462v1_genomic	68741
GCA_041394645.1_ASM4139464v1_genomic	182676
GCA_041394665.1_ASM4139466v1_genomic	140987
GCA_041394685.1_ASM4139468v1_genomic	154521
GCA_041394705.1_ASM4139470v1_genomic	293233
GCA_041394725.1_ASM4139472v1_genomic	88149
GCA_041394745.1_ASM4139474v1_genomic	134965
GCA_041394755.1_ASM4139475v1_genomic	87372
GCA_041394785.1_ASM4139478v1_genomic	151213
GCA_041394795.1_ASM4139479v1_genomic	325919
GCA_041394825.1_ASM4139482v1_genomic	184800
GCA_041394845.1_ASM4139484v1_genomic	856769
GCA_041394865.1_ASM4139486v1_genomic	63283
GCA_041394885.1_ASM4139488v1_genomic	125803
GCA_041394905.1_ASM4139490v1_genomic	219154
GCA_041394945.1_ASM4139494v1_genomic	1567131
GCA_041394985.1_ASM4139498v1_genomic	4456649
GCA_041395025.1_ASM4139502v1_genomic	1319052
GCA_041395045.1_ASM4139504v1_genomic	211213
GCA_041395065.1_ASM4139506v1_genomic	103778
GCA_041395085.1_ASM4139508v1_genomic	201565
GCA_041395105.1_ASM4139510v1_genomic	1157664
GCA_041395125.1_ASM4139512v1_genomic	190126
GCA_041395145.1_ASM4139514v1_genomic	89087
GCA_041395165.1_ASM4139516v1_genomic	119919
GCA_041395185.1_ASM4139518v1_genomic	55520
GCA_041395205.1_ASM4139520v1_genomic	680829
GCA_041395225.1_ASM4139522v1_genomic	212844
GCA_041395245.1_ASM4139524v1_genomic	204867
GCA_041395265.1_ASM4139526v1_genomic	124054
GCA_041395285.1_ASM4139528v1_genomic	169284
GCA_041395305.1_ASM4139530v1_genomic	157589
GCA_041395325.1_ASM4139532v1_genomic	135778
GCA_041395345.1_ASM4139534v1_genomic	189593
GCA_041395365.1_ASM4139536v1_genomic	166780
GCA_041395385.1_ASM4139538v1_genomic	145372
GCA_041395405.1_ASM4139540v1_genomic	52039
GCA_041395425.1_ASM4139542v1_genomic	30496
GCA_041395445.1_ASM4139544v1_genomic	492979
GCA_041395465.1_ASM4139546v1_genomic	322006
GCA_041395485.1_ASM4139548v1_genomic	1000864
GCA_041395505.1_ASM4139550v1_genomic	2719558
GCA_041395525.1_ASM4139552v1_genomic	147814
GCA_041395545.1_ASM4139554v1_genomic	98582
GCA_041395565.1_ASM4139556v1_genomic	404165
GCA_041395585.1_ASM4139558v1_genomic	1003722
GCA_041395605.1_ASM4139560v1_genomic	68003
GCA_041395625.1_ASM4139562v1_genomic	1258694
GCA_041395645.1_ASM4139564v1_genomic	314880
GCA_041395665.1_ASM4139566v1_genomic	409585
GCA_041395675.1_ASM4139567v1_genomic	46339
GCA_041395705.1_ASM4139570v1_genomic	78282
GCA_041395725.1_ASM4139572v1_genomic	5036045
GCA_041395745.1_ASM4139574v1_genomic	724012
GCA_041395765.1_ASM4139576v1_genomic	741470
GCA_041395785.1_ASM4139578v1_genomic	345156
GCA_041395805.1_ASM4139580v1_genomic	399870
GCA_041395825.1_ASM4139582v1_genomic	100123
GCA_041395845.1_ASM4139584v1_genomic	165176
GCA_041395865.1_ASM4139586v1_genomic	178910
GCA_041395885.1_ASM4139588v1_genomic	680368
GCA_041395905.1_ASM4139590v1_genomic	216734
GCA_041395925.1_ASM4139592v1_genomic	197062
GCA_041395945.1_ASM4139594v1_genomic	3632425
GCA_041395965.1_ASM4139596v1_genomic	64786
GCA_041395985.1_ASM4139598v1_genomic	455288
GCA_041396005.1_ASM4139600v1_genomic	199097
GCA_041396025.1_ASM4139602v1_genomic	677783
GCA_041396045.1_ASM4139604v1_genomic	219530
GCA_041396065.1_ASM4139606v1_genomic	637099
GCA_041396085.1_ASM4139608v1_genomic	56692
GCA_041396105.1_ASM4139610v1_genomic	67217
GCA_041396125.1_ASM4139612v1_genomic	277933
GCA_041396145.1_ASM4139614v1_genomic	53488
GCA_041396165.1_ASM4139616v1_genomic	164167
GCA_041396185.1_ASM4139618v1_genomic	202381
GCA_041396205.1_ASM4139620v1_genomic	45241
GCA_041396225.1_ASM4139622v1_genomic	52404
GCA_041396245.1_ASM4139624v1_genomic	165971
GCA_041396265.1_ASM4139626v1_genomic	55265
GCA_041396285.1_ASM4139628v1_genomic	96256
GCA_041396305.1_ASM4139630v1_genomic	40601
GCA_041396325.1_ASM4139632v1_genomic	3737323
GCA_041396345.1_ASM4139634v1_genomic	95501
GCA_041396365.1_ASM4139636v1_genomic	78710
GCA_041396385.1_ASM4139638v1_genomic	110282
GCA_041396405.1_ASM4139640v1_genomic	284029
GCA_041396425.1_ASM4139642v1_genomic	531244
GCA_041396445.1_ASM4139644v1_genomic	123679
GCA_041396465.1_ASM4139646v1_genomic	244132
GCA_041396485.1_ASM4139648v1_genomic	377603
GCA_041396505.1_ASM4139650v1_genomic	532164
GCA_041396525.1_ASM4139652v1_genomic	251540
GCA_041396545.1_ASM4139654v1_genomic	84344
GCA_041396565.1_ASM4139656v1_genomic	213974
GCA_041396585.1_ASM4139658v1_genomic	249231
GCA_041396605.1_ASM4139660v1_genomic	74601
GCA_041396625.1_ASM4139662v1_genomic	171269
GCA_041396645.1_ASM4139664v1_genomic	38517
GCA_041396665.1_ASM4139666v1_genomic	130218
GCA_041396685.1_ASM4139668v1_genomic	342713
GCA_041396705.1_ASM4139670v1_genomic	251547
GCA_041396725.1_ASM4139672v1_genomic	50752
GCA_041396745.1_ASM4139674v1_genomic	735267
GCA_041396765.1_ASM4139676v1_genomic	586345
GCA_041396785.1_ASM4139678v1_genomic	284612
GCA_041396805.1_ASM4139680v1_genomic	1650773
GCA_041396825.1_ASM4139682v1_genomic	75952
GCA_041396845.1_ASM4139684v1_genomic	706939
GCA_041396865.1_ASM4139686v1_genomic	109981
GCA_041396885.1_ASM4139688v1_genomic	952308
GCA_041396905.1_ASM4139690v1_genomic	102365
GCA_041396925.1_ASM4139692v1_genomic	59234
GCA_041396945.1_ASM4139694v1_genomic	105035
GCA_041396965.1_ASM4139696v1_genomic	2054897
GCA_041396985.1_ASM4139698v1_genomic	748730
GCA_041397005.1_ASM4139700v1_genomic	265492
GCA_041397015.1_ASM4139701v1_genomic	44228
GCA_041397045.1_ASM4139704v1_genomic	217995
GCA_041397065.1_ASM4139706v1_genomic	134330
GCA_041397085.1_ASM4139708v1_genomic	1268131
GCA_041397105.1_ASM4139710v1_genomic	898306
GCA_041397125.1_ASM4139712v1_genomic	327215
GCA_041397145.1_ASM4139714v1_genomic	489264
GCA_041397165.1_ASM4139716v1_genomic	88069
GCA_041397185.1_ASM4139718v1_genomic	144728
GCA_041397205.1_ASM4139720v1_genomic	165247
GCA_041397225.1_ASM4139722v1_genomic	1848211
GCA_041397245.1_ASM4139724v1_genomic	196571
GCA_041397265.1_ASM4139726v1_genomic	518320
GCA_041397285.1_ASM4139728v1_genomic	94614
GCA_041397305.1_ASM4139730v1_genomic	170920
GCA_041397325.1_ASM4139732v1_genomic	162447
GCA_041397345.1_ASM4139734v1_genomic	263932
GCA_041397365.1_ASM4139736v1_genomic	319180
GCA_041397385.1_ASM4139738v1_genomic	329591
GCA_041397405.1_ASM4139740v1_genomic	350928
GCA_041397425.1_ASM4139742v1_genomic	129666
GCA_041397445.1_ASM4139744v1_genomic	146479
GCA_041397465.1_ASM4139746v1_genomic	77430
GCA_041397485.1_ASM4139748v1_genomic	758273
GCA_041397505.1_ASM4139750v1_genomic	52437
GCA_041397525.1_ASM4139752v1_genomic	585040
GCA_041397545.1_ASM4139754v1_genomic	80814
GCA_041397565.1_ASM4139756v1_genomic	224810
GCA_041397585.1_ASM4139758v1_genomic	632922
GCA_041397605.1_ASM4139760v1_genomic	2885117
GCA_041397625.1_ASM4139762v1_genomic	712083
GCA_041397645.1_ASM4139764v1_genomic	2972299
GCA_041397665.1_ASM4139766v1_genomic	103452
GCA_041397675.1_ASM4139767v1_genomic	86013
GCA_041397705.1_ASM4139770v1_genomic	215798
GCA_041397725.1_ASM4139772v1_genomic	461990
GCA_041397745.1_ASM4139774v1_genomic	465549
GCA_041397765.1_ASM4139776v1_genomic	191313
GCA_041397775.1_ASM4139777v1_genomic	538993
GCA_041397805.1_ASM4139780v1_genomic	193237
GCA_041397825.1_ASM4139782v1_genomic	826090
GCA_041397845.1_ASM4139784v1_genomic	121852
GCA_041397865.1_ASM4139786v1_genomic	1545054
GCA_041397885.1_ASM4139788v1_genomic	424033
GCA_041397905.1_ASM4139790v1_genomic	49102
GCA_041397925.1_ASM4139792v1_genomic	44211
GCA_041397945.1_ASM4139794v1_genomic	60324
GCA_041397965.1_ASM4139796v1_genomic	69193
GCA_041397985.1_ASM4139798v1_genomic	151805
GCA_041398005.1_ASM4139800v1_genomic	367853
GCA_041398025.1_ASM4139802v1_genomic	152410
GCA_041398035.1_ASM4139803v1_genomic	66942
GCA_041398065.1_ASM4139806v1_genomic	71341
GCA_041398085.1_ASM4139808v1_genomic	67345
GCA_041398105.1_ASM4139810v1_genomic	71992
GCA_041398125.1_ASM4139812v1_genomic	95393
GCA_041398145.1_ASM4139814v1_genomic	427064
GCA_041398165.1_ASM4139816v1_genomic	73850
GCA_041398185.1_ASM4139818v1_genomic	110151
GCA_041398205.1_ASM4139820v1_genomic	121736
GCA_041398225.1_ASM4139822v1_genomic	115663
GCA_041398245.1_ASM4139824v1_genomic	182076
GCA_041398265.1_ASM4139826v1_genomic	173661
GCA_041398285.1_ASM4139828v1_genomic	58230
GCA_041398305.1_ASM4139830v1_genomic	154647
GCA_041398325.1_ASM4139832v1_genomic	165862
GCA_041398345.1_ASM4139834v1_genomic	202930
GCA_041398365.1_ASM4139836v1_genomic	127856
GCA_041398385.1_ASM4139838v1_genomic	422313
GCA_041398405.1_ASM4139840v1_genomic	75543
GCA_041398425.1_ASM4139842v1_genomic	79841
GCA_041398445.1_ASM4139844v1_genomic	115485
GCA_041398465.1_ASM4139846v1_genomic	835991
GCA_041398485.1_ASM4139848v1_genomic	139533
GCA_041398505.1_ASM4139850v1_genomic	875952
GCA_041398525.1_ASM4139852v1_genomic	75465
GCA_041398545.1_ASM4139854v1_genomic	88935
GCA_041398565.1_ASM4139856v1_genomic	1619212
GCA_041398585.1_ASM4139858v1_genomic	145699
GCA_041398605.1_ASM4139860v1_genomic	305523
GCA_041398625.1_ASM4139862v1_genomic	63787
GCA_041398635.1_ASM4139863v1_genomic	193783
GCA_041398665.1_ASM4139866v1_genomic	120075
GCA_041398685.1_ASM4139868v1_genomic	117325
GCA_041398705.1_ASM4139870v1_genomic	543408
GCA_041398725.1_ASM4139872v1_genomic	423315
GCA_041398745.1_ASM4139874v1_genomic	829141
GCA_041398765.1_ASM4139876v1_genomic	447671
GCA_041398785.1_ASM4139878v1_genomic	238052
GCA_041398805.1_ASM4139880v1_genomic	503603
GCA_041398825.1_ASM4139882v1_genomic	420822
GCA_041398845.1_ASM4139884v1_genomic	1689918
GCA_041398865.1_ASM4139886v1_genomic	267312
GCA_041398885.1_ASM4139888v1_genomic	138320
GCA_041398905.1_ASM4139890v1_genomic	307431
GCA_041398925.1_ASM4139892v1_genomic	99836
GCA_041398945.1_ASM4139894v1_genomic	60290
GCA_041398965.1_ASM4139896v1_genomic	128940
GCA_041398985.1_ASM4139898v1_genomic	397807
GCA_041399005.1_ASM4139900v1_genomic	117537
GCA_041399025.1_ASM4139902v1_genomic	262877
GCA_041399045.1_ASM4139904v1_genomic	568297
GCA_041399065.1_ASM4139906v1_genomic	1041996
GCA_041399085.1_ASM4139908v1_genomic	79324
GCA_041399105.1_ASM4139910v1_genomic	109600
GCA_041399125.1_ASM4139912v1_genomic	807431
GCA_041399145.1_ASM4139914v1_genomic	197046
GCA_041399155.1_ASM4139915v1_genomic	1003489
GCA_041399205.1_ASM4139920v1_genomic	264757
GCA_041401905.1_ASM4140190v1_genomic	118015
GCA_041401925.1_ASM4140192v1_genomic	85008
GCA_041401945.1_ASM4140194v1_genomic	2207697
GCA_041401965.1_ASM4140196v1_genomic	51341
GCA_041401985.1_ASM4140198v1_genomic	188306
GCA_041402005.1_ASM4140200v1_genomic	458326
GCA_041402025.1_ASM4140202v1_genomic	60815
GCA_041402045.1_ASM4140204v1_genomic	85321
GCA_041402065.1_ASM4140206v1_genomic	625588
GCA_041402085.1_ASM4140208v1_genomic	4149782
GCA_041402105.1_ASM4140210v1_genomic	301439
GCA_041402125.1_ASM4140212v1_genomic	264419
GCA_041402145.1_ASM4140214v1_genomic	261458
GCA_041402165.1_ASM4140216v1_genomic	643671
GCA_041402185.1_ASM4140218v1_genomic	617648
