mag	n	mean	std	n_contigs
GCA_041392025.1_ASM4139202v1_genomic	6	0.23404230715	0.04505035446770972	15
GCA_041392065.1_ASM4139206v1_genomic	2	0.1899195166	0.08650053545995276	7
GCA_041392085.1_ASM4139208v1_genomic	2	0.12997188155	0.01826257461190033	18
GCA_041392105.1_ASM4139210v1_genomic	1	0.1605771006		49
GCA_041392125.1_ASM4139212v1_genomic	4	0.1544275504	0.026211432742770286	21
GCA_041392145.1_ASM4139214v1_genomic	1	0.1766166178		27
GCA_041392165.1_ASM4139216v1_genomic	1	0.132751733		20
GCA_041392175.1_ASM4139217v1_genomic	1	0.1578415242		39
GCA_041392225.1_ASM4139222v1_genomic	7	0.2258267101857143	0.02983234649045744	25
GCA_041392235.1_ASM4139223v1_genomic	2	0.15404742635000002	0.013546840314451587	20
GCA_041392275.1_ASM4139227v1_genomic	1	0.1551427374		47
GCA_041392305.1_ASM4139230v1_genomic	1	0.1371236323		78
GCA_041392325.1_ASM4139232v1_genomic	4	0.191565778175	0.03665155124392144	7
GCA_041392385.1_ASM4139238v1_genomic	6	0.18047944671666669	0.040949184893754445	6
GCA_041392405.1_ASM4139240v1_genomic	2	2.2130802215000003	0.015447278672212858	118
GCA_041392415.1_ASM4139241v1_genomic	1	0.1990392252		90
GCA_041392465.1_ASM4139246v1_genomic	1	0.1296269204		12
GCA_041392475.1_ASM4139247v1_genomic	6	0.15645619371666666	0.019611210073870334	5
GCA_041392545.1_ASM4139254v1_genomic	1	0.08776106253		52
GCA_041392585.1_ASM4139258v1_genomic	3	0.21482145696666666	0.07163491973404311	13
GCA_041392605.1_ASM4139260v1_genomic	1	0.1013106215		18
GCA_041392665.1_ASM4139266v1_genomic	1	0.05096120105		63
GCA_041392685.1_ASM4139268v1_genomic	1	0.1034193805		99
GCA_041392805.1_ASM4139280v1_genomic	6	0.12182075536166666	0.03249462772272316	4
GCA_041392825.1_ASM4139282v1_genomic	1	0.1312571763		30
GCA_041392835.1_ASM4139283v1_genomic	1	0.1997069573		17
GCA_041392855.1_ASM4139285v1_genomic	4	0.41361797565	0.08248182071194056	3
GCA_041392895.1_ASM4139289v1_genomic	1	0.1526721672		60
GCA_041392925.1_ASM4139292v1_genomic	2	0.16188201735000002	0.07765804573087963	49
GCA_041392945.1_ASM4139294v1_genomic	7	0.21509947824285716	0.043262596426977405	25
GCA_041392955.1_ASM4139295v1_genomic	1	0.1262938739		54
GCA_041392965.1_ASM4139296v1_genomic	4	0.213021575375	0.038585261043668675	53
GCA_041393035.1_ASM4139303v1_genomic	4	0.323085358375	0.017279615712014123	6
GCA_041393095.1_ASM4139309v1_genomic	1	0.2799610176		47
GCA_041393215.1_ASM4139321v1_genomic	2	0.1343658856	2.702151995761714e-05	66
GCA_041393395.1_ASM4139339v1_genomic	3	0.15937210383333333	0.025868306348544715	10
GCA_041393415.1_ASM4139341v1_genomic	1	0.07103080909		11
GCA_041393475.1_ASM4139347v1_genomic	3	0.13099869179999998	0.01732843789712288	22
GCA_041393575.1_ASM4139357v1_genomic	2	0.08907370282999999	0.018736360366631493	17
GCA_041393775.1_ASM4139377v1_genomic	7	0.1873744149	0.01905423562214794	17
GCA_041393795.1_ASM4139379v1_genomic	7	0.7958094288714286	0.34910726377656637	56
GCA_041393815.1_ASM4139381v1_genomic	1	0.09904938672		10
GCA_041393855.1_ASM4139385v1_genomic	2	0.15766573090000002	0.035124176801590704	18
GCA_041393875.1_ASM4139387v1_genomic	1	0.06483717532		3
GCA_041393965.1_ASM4139396v1_genomic	2	0.14656250734999998	0.040850330980462576	4
GCA_041394185.1_ASM4139418v1_genomic	4	0.26423701215	0.06851780873333783	7
GCA_041394245.1_ASM4139424v1_genomic	1	0.212273544		8
GCA_041394265.1_ASM4139426v1_genomic	2	0.17632742965	0.0025729010078889714	6
GCA_041394285.1_ASM4139428v1_genomic	2	0.080425500765	0.029325479526874178	58
GCA_041394325.1_ASM4139432v1_genomic	1	0.1509256929		12
GCA_041394345.1_ASM4139434v1_genomic	1	0.1298841673		59
GCA_041394385.1_ASM4139438v1_genomic	4	0.17347819252500002	0.03592488395896635	12
GCA_041394485.1_ASM4139448v1_genomic	1	0.1977579572		72
GCA_041394525.1_ASM4139452v1_genomic	4	0.228686525425	0.05268376510397409	12
GCA_041394545.1_ASM4139454v1_genomic	2	0.1622932504	0.00891760801589095	13
GCA_041394785.1_ASM4139478v1_genomic	1	0.09279747285		45
GCA_041394795.1_ASM4139479v1_genomic	3	0.08189927016	0.015092629086576461	31
GCA_041394845.1_ASM4139484v1_genomic	2	0.09947703195999999	0.00797592582910347	12
GCA_041394865.1_ASM4139486v1_genomic	1	1.927736638		128
GCA_041394985.1_ASM4139498v1_genomic	1	0.2442586898		1
GCA_041395025.1_ASM4139502v1_genomic	1	0.3358679776		1
GCA_041395065.1_ASM4139506v1_genomic	1	0.181754587		79
GCA_041395085.1_ASM4139508v1_genomic	1	0.126248571		86
GCA_041395105.1_ASM4139510v1_genomic	2	0.16684106325	0.025322298875360652	14
GCA_041395125.1_ASM4139512v1_genomic	1	0.1210594369		27
GCA_041395165.1_ASM4139516v1_genomic	1	0.1981384428		26
GCA_041395185.1_ASM4139518v1_genomic	2	2.144319786	0.7568971154567428	105
GCA_041395205.1_ASM4139520v1_genomic	2	0.1589397797	0.02912789644788637	16
GCA_041395225.1_ASM4139522v1_genomic	1	0.1389093633		29
GCA_041395285.1_ASM4139528v1_genomic	6	0.1669352843666667	0.03231497422750502	39
GCA_041395325.1_ASM4139532v1_genomic	1	0.07520362694		62
GCA_041395385.1_ASM4139538v1_genomic	1	0.08277349598		48
GCA_041395425.1_ASM4139542v1_genomic	1	2.061478282		150
GCA_041395445.1_ASM4139544v1_genomic	3	0.22834058923333334	0.03861724519548217	13
GCA_041395465.1_ASM4139546v1_genomic	2	0.1586306764	0.006323225457542915	23
GCA_041395505.1_ASM4139550v1_genomic	3	0.181205845	0.022982041731745225	2
GCA_041395585.1_ASM4139558v1_genomic	5	0.1869963423	0.01855380263875585	6
GCA_041395605.1_ASM4139560v1_genomic	1	0.1629311415		59
GCA_041395625.1_ASM4139562v1_genomic	4	0.15606971612499998	0.010920471112450009	12
GCA_041395645.1_ASM4139564v1_genomic	2	0.15494481599999999	0.0264453566243861	22
GCA_041395665.1_ASM4139566v1_genomic	2	0.27234983684999997	0.0509566830762639	11
GCA_041395705.1_ASM4139570v1_genomic	1	0.07864192487		63
GCA_041395725.1_ASM4139572v1_genomic	3	0.08020967047	0.02198153175945232	1
GCA_041395745.1_ASM4139574v1_genomic	1	0.1983098786		6
GCA_041395825.1_ASM4139582v1_genomic	2	0.48276125974999995	0.2194519058205182	71
GCA_041395845.1_ASM4139584v1_genomic	1	0.351828588		55
GCA_041395885.1_ASM4139588v1_genomic	1	0.1075045581		19
GCA_041395925.1_ASM4139592v1_genomic	2	0.1324387299	0.0010013302358830003	62
GCA_041395945.1_ASM4139594v1_genomic	7	0.20827140768571425	0.026533678135826085	3
GCA_041395985.1_ASM4139598v1_genomic	1	0.3090129163		10
GCA_041396045.1_ASM4139604v1_genomic	1	0.1185642885		29
GCA_041396065.1_ASM4139606v1_genomic	3	0.1845850501	0.06269601125997602	13
GCA_041396165.1_ASM4139616v1_genomic	3	0.16650851806666667	0.05387959909646591	50
GCA_041396185.1_ASM4139618v1_genomic	1	0.1426961068		27
GCA_041396205.1_ASM4139620v1_genomic	1	0.1732641748		65
GCA_041396245.1_ASM4139624v1_genomic	1	0.1484361081		38
GCA_041396325.1_ASM4139632v1_genomic	2	0.10243798944499999	0.04560898850507806	1
GCA_041396345.1_ASM4139634v1_genomic	1	0.1203365109		62
GCA_041396365.1_ASM4139636v1_genomic	2	0.2619300042	0.1410227195568254	66
GCA_041396405.1_ASM4139640v1_genomic	1	0.1394361923		25
GCA_041396445.1_ASM4139644v1_genomic	3	0.06994090558333334	0.032534454388577716	88
GCA_041396465.1_ASM4139646v1_genomic	2	0.41439896135	0.2350164878508756	32
GCA_041396505.1_ASM4139650v1_genomic	1	0.1407372756		21
GCA_041396605.1_ASM4139660v1_genomic	1	0.2010329601		91
GCA_041396745.1_ASM4139674v1_genomic	1	0.06795924315		15
GCA_041396765.1_ASM4139676v1_genomic	5	0.16207688035999998	0.03444329401894096	6
GCA_041396805.1_ASM4139680v1_genomic	2	0.13932749049999998	0.030597318786414154	6
GCA_041396885.1_ASM4139688v1_genomic	3	0.23219205623333336	0.02947926153610619	6
GCA_041396965.1_ASM4139696v1_genomic	1	0.2041755833		2
GCA_041396985.1_ASM4139698v1_genomic	2	0.2622753703	0.07967725243061471	6
GCA_041397005.1_ASM4139700v1_genomic	1	0.1494934492		30
GCA_041397085.1_ASM4139708v1_genomic	2	0.08732816707	0.03553958751156451	3
GCA_041397105.1_ASM4139710v1_genomic	3	0.15555293256333333	0.07922771279985481	14
GCA_041397125.1_ASM4139712v1_genomic	7	0.11725784396714287	0.017717178015344805	22
GCA_041397225.1_ASM4139722v1_genomic	2	0.08593597449	0.009401593842509283	3
GCA_041397305.1_ASM4139730v1_genomic	1	0.1148831257		47
GCA_041397465.1_ASM4139746v1_genomic	1	2.018253072		127
GCA_041397585.1_ASM4139758v1_genomic	4	0.212722132925	0.021367346685293262	6
GCA_041397605.1_ASM4139760v1_genomic	1	0.1663574197		35
GCA_041397625.1_ASM4139762v1_genomic	5	0.16134040378	0.03285129036568801	9
GCA_041397645.1_ASM4139764v1_genomic	1	0.09520935596		12
GCA_041397665.1_ASM4139766v1_genomic	1	0.3770657368		64
GCA_041397745.1_ASM4139774v1_genomic	1	0.08109184963		25
GCA_041397805.1_ASM4139780v1_genomic	1	0.03804639999		44
GCA_041397865.1_ASM4139786v1_genomic	2	0.24264756745	0.02135081511262872	4
GCA_041397985.1_ASM4139798v1_genomic	1	0.1610571455		68
GCA_041398025.1_ASM4139802v1_genomic	1	0.241598714		81
GCA_041398085.1_ASM4139808v1_genomic	1	0.1240370775		86
GCA_041398145.1_ASM4139814v1_genomic	2	0.23450941590000002	0.03685817813296319	18
GCA_041398205.1_ASM4139820v1_genomic	3	0.4841437913	0.18176547617920033	61
GCA_041398245.1_ASM4139824v1_genomic	1	0.1780615074		29
GCA_041398265.1_ASM4139826v1_genomic	1	0.09909044288		29
GCA_041398345.1_ASM4139834v1_genomic	1	0.2411692798		30
GCA_041398365.1_ASM4139836v1_genomic	2	0.15788893394999998	0.023338247332755108	52
GCA_041398385.1_ASM4139838v1_genomic	4	0.2148210216	0.019219252648498362	17
GCA_041398445.1_ASM4139844v1_genomic	2	0.163716384205	0.10078982409899688	64
GCA_041398465.1_ASM4139846v1_genomic	2	0.07498031208	0.018351082672726705	7
GCA_041398505.1_ASM4139850v1_genomic	2	0.10969957015500001	0.059183455679460505	14
GCA_041398565.1_ASM4139856v1_genomic	2	0.09145623110500001	0.004138916275260412	8
GCA_041398635.1_ASM4139863v1_genomic	2	0.14623049185	0.014337340158141414	40
GCA_041398725.1_ASM4139872v1_genomic	1	0.06065263446		35
GCA_041398745.1_ASM4139874v1_genomic	1	0.08528383814		19
GCA_041398965.1_ASM4139896v1_genomic	1	0.08616485099		80
GCA_041398985.1_ASM4139898v1_genomic	1	0.09930089469		47
GCA_041399065.1_ASM4139906v1_genomic	1	0.08426640973		22
GCA_041399145.1_ASM4139914v1_genomic	1	0.102499257		51
GCA_041399155.1_ASM4139915v1_genomic	2	0.20627718315	0.10658390225523384	9
GCA_041401905.1_ASM4140190v1_genomic	1	0.2204676109		48
GCA_041401945.1_ASM4140194v1_genomic	6	0.20579652738333332	0.03577942822197921	4
GCA_041401985.1_ASM4140198v1_genomic	1	0.07716111495		42
GCA_041402005.1_ASM4140200v1_genomic	1	0.1027835519		14
GCA_041402065.1_ASM4140206v1_genomic	3	0.20063123010000003	0.03436205873024778	15
GCA_041402085.1_ASM4140208v1_genomic	2	0.14313323055	0.014528190823968053	2
GCA_041402145.1_ASM4140214v1_genomic	1	0.2829758123		6
GCA_041402165.1_ASM4140216v1_genomic	1	0.6489104175		1
