file	accession	organism	n_contigs	total_len	domain	mag	n50	Completeness	Contamination
GCA_041390045.1_ASM4139004v1_genomic.fna	GCA_041390045.1	bacterium (bacteria)	272	8521944	Bacteria	GCA_041390045.1_ASM4139004v1_genomic	64895	73.34	7.84
GCA_041390065.1_ASM4139006v1_genomic.fna	GCA_041390065.1	Candidatus Krumholzibacteriia bacterium (bacteria)	37	4233658	Bacteria	GCA_041390065.1_ASM4139006v1_genomic	259993	84.83	2.33
GCA_041390085.1_ASM4139008v1_genomic.fna	GCA_041390085.1	Candidatus Krumholzibacteriia bacterium (bacteria)	16	3743328	Bacteria	GCA_041390085.1_ASM4139008v1_genomic	396185	99.66	0.19
GCA_041390105.1_ASM4139010v1_genomic.fna	GCA_041390105.1	Gemmatimonadota bacterium (bacteria)	8	4674153	Bacteria	GCA_041390105.1_ASM4139010v1_genomic	940639	95.69	3.65
GCA_041390125.1_ASM4139012v1_genomic.fna	GCA_041390125.1	Gemmatimonadota bacterium (bacteria)	43	5143487	Bacteria	GCA_041390125.1_ASM4139012v1_genomic	310828	100.0	3.03
GCA_041390145.1_ASM4139014v1_genomic.fna	GCA_041390145.1	Gemmatimonadales bacterium (bacteria)	26	2983973	Bacteria	GCA_041390145.1_ASM4139014v1_genomic	253077	97.83	0.77
GCA_041390165.1_ASM4139016v1_genomic.fna	GCA_041390165.1	Gemmatimonadales bacterium (bacteria)	39	3274718	Bacteria	GCA_041390165.1_ASM4139016v1_genomic	193701	98.53	1.7
GCA_041390185.1_ASM4139018v1_genomic.fna	GCA_041390185.1	Eubacteriales bacterium (firmicutes)	112	1835157	Bacteria	GCA_041390185.1_ASM4139018v1_genomic	28317	53.24	4.67
GCA_041390205.1_ASM4139020v1_genomic.fna	GCA_041390205.1	Gemmatimonadales bacterium (bacteria)	138	5219511	Bacteria	GCA_041390205.1_ASM4139020v1_genomic	85753	75.04	2.29
GCA_041390225.1_ASM4139022v1_genomic.fna	GCA_041390225.1	Gemmatimonadales bacterium (bacteria)	126	3214659	Bacteria	GCA_041390225.1_ASM4139022v1_genomic	57023	45.51	1.41
GCA_041390245.1_ASM4139024v1_genomic.fna	GCA_041390245.1	Eubacteriales bacterium (firmicutes)	7	1557750	Bacteria	GCA_041390245.1_ASM4139024v1_genomic	241942	98.51	0.08
GCA_041390265.1_ASM4139026v1_genomic.fna	GCA_041390265.1	Eubacteriales bacterium (firmicutes)	166	2130361	Bacteria	GCA_041390265.1_ASM4139026v1_genomic	26688	63.69	4.75
GCA_041390285.1_ASM4139028v1_genomic.fna	GCA_041390285.1	Thermodesulfobacteriota bacterium (bacteria)	26	2513586	Bacteria	GCA_041390285.1_ASM4139028v1_genomic	178312	84.24	1.25
GCA_041390305.1_ASM4139030v1_genomic.fna	GCA_041390305.1	Candidatus Eiseniibacteriota bacterium (bacteria)	90	6387176	Bacteria	GCA_041390305.1_ASM4139030v1_genomic	169691	86.08	0.28
GCA_041390325.1_ASM4139032v1_genomic.fna	GCA_041390325.1	Candidatus Eiseniibacteriota bacterium (bacteria)	106	4769425	Bacteria	GCA_041390325.1_ASM4139032v1_genomic	77015	48.65	0.99
GCA_041390345.1_ASM4139034v1_genomic.fna	GCA_041390345.1	Syntrophotaleaceae bacterium (bacteria)	65	2457895	Bacteria	GCA_041390345.1_ASM4139034v1_genomic	61842	52.6	1.63
GCA_041390365.1_ASM4139036v1_genomic.fna	GCA_041390365.1	Syntrophotaleaceae bacterium (bacteria)	10	4234159	Bacteria	GCA_041390365.1_ASM4139036v1_genomic	1196977	100.0	4.04
GCA_041390385.1_ASM4139038v1_genomic.fna	GCA_041390385.1	Desulfobacterales bacterium (bacteria)	142	2398695	Bacteria	GCA_041390385.1_ASM4139038v1_genomic	29076	51.26	2.39
GCA_041390405.1_ASM4139040v1_genomic.fna	GCA_041390405.1	Desulfobacterales bacterium (bacteria)	159	2411560	Bacteria	GCA_041390405.1_ASM4139040v1_genomic	25852	51.26	1.65
GCA_041390425.1_ASM4139042v1_genomic.fna	GCA_041390425.1	Desulfobacterales bacterium (bacteria)	170	2435105	Bacteria	GCA_041390425.1_ASM4139042v1_genomic	31349	46.64	2.21
GCA_041390445.1_ASM4139044v1_genomic.fna	GCA_041390445.1	Desulfobacterales bacterium (bacteria)	154	2641009	Bacteria	GCA_041390445.1_ASM4139044v1_genomic	31313	50.25	3.26
GCA_041390465.1_ASM4139046v1_genomic.fna	GCA_041390465.1	Desulfobacterales bacterium (bacteria)	210	5681056	Bacteria	GCA_041390465.1_ASM4139046v1_genomic	51050	63.98	0.94
GCA_041390485.1_ASM4139048v1_genomic.fna	GCA_041390485.1	Deinococcales bacterium (bacteria)	86	2774151	Bacteria	GCA_041390485.1_ASM4139048v1_genomic	49172	51.16	0.33
GCA_041390505.1_ASM4139050v1_genomic.fna	GCA_041390505.1	Vampirovibrionales bacterium (bacteria)	39	2700670	Bacteria	GCA_041390505.1_ASM4139050v1_genomic	98106	63.87	1.32
GCA_041390515.1_ASM4139051v1_genomic.fna	GCA_041390515.1	Deinococcales bacterium (bacteria)	32	4514138	Bacteria	GCA_041390515.1_ASM4139051v1_genomic	217252	93.57	0.5
GCA_041390525.1_ASM4139052v1_genomic.fna	GCA_041390525.1	Cyanobacteriota/Melainabacteria group bacterium (bacteria)	106	5012358	Bacteria	GCA_041390525.1_ASM4139052v1_genomic	80283	73.51	2.52
GCA_041390565.1_ASM4139056v1_genomic.fna	GCA_041390565.1	Cyanobacteriota/Melainabacteria group bacterium (bacteria)	112	4121426	Bacteria	GCA_041390565.1_ASM4139056v1_genomic	53964	65.04	2.24
GCA_041390585.1_ASM4139058v1_genomic.fna	GCA_041390585.1	Dehalococcoidia bacterium (GNS bacteria)	41	3502338	Bacteria	GCA_041390585.1_ASM4139058v1_genomic	237836	93.53	4.82
GCA_041390605.1_ASM4139060v1_genomic.fna	GCA_041390605.1	Chloroflexota bacterium (GNS bacteria)	83	2843325	Bacteria	GCA_041390605.1_ASM4139060v1_genomic	67084	36.73	0.32
GCA_041390625.1_ASM4139062v1_genomic.fna	GCA_041390625.1	Dehalococcoidia bacterium (GNS bacteria)	32	3284008	Bacteria	GCA_041390625.1_ASM4139062v1_genomic	204406	90.65	3.07
GCA_041390645.1_ASM4139064v1_genomic.fna	GCA_041390645.1	Dehalococcoidia bacterium (GNS bacteria)	9	3495618	Bacteria	GCA_041390645.1_ASM4139064v1_genomic	2949603	96.06	2.3
GCA_041390665.1_ASM4139066v1_genomic.fna	GCA_041390665.1	Cyanobacteriota/Melainabacteria group bacterium (bacteria)	151	6563028	Bacteria	GCA_041390665.1_ASM4139066v1_genomic	86193	94.02	8.15
GCA_041390685.1_ASM4139068v1_genomic.fna	GCA_041390685.1	Dehalococcoidia bacterium (GNS bacteria)	1	2615142	Bacteria	GCA_041390685.1_ASM4139068v1_genomic	2615142	99.19	0.51
GCA_041390705.1_ASM4139070v1_genomic.fna	GCA_041390705.1	Thermomicrobiales bacterium (bacteria)	2	1317534	Bacteria	GCA_041390705.1_ASM4139070v1_genomic	1312267	74.1	0.44
GCA_041390725.1_ASM4139072v1_genomic.fna	GCA_041390725.1	Thermomicrobiales bacterium (bacteria)	120	2946280	Bacteria	GCA_041390725.1_ASM4139072v1_genomic	50150	62.89	2.35
GCA_041390745.1_ASM4139074v1_genomic.fna	GCA_041390745.1	Thermomicrobiales bacterium (bacteria)	43	4774370	Bacteria	GCA_041390745.1_ASM4139074v1_genomic	210816	87.34	3.55
GCA_041390765.1_ASM4139076v1_genomic.fna	GCA_041390765.1	Thermomicrobiales bacterium (bacteria)	59	3788355	Bacteria	GCA_041390765.1_ASM4139076v1_genomic	129268	73.87	1.44
GCA_041390785.1_ASM4139078v1_genomic.fna	GCA_041390785.1	Thermomicrobiales bacterium (bacteria)	188	3015329	Bacteria	GCA_041390785.1_ASM4139078v1_genomic	47945	59.59	2.62
GCA_041390805.1_ASM4139080v1_genomic.fna	GCA_041390805.1	Thermomicrobiales bacterium (bacteria)	35	2376499	Bacteria	GCA_041390805.1_ASM4139080v1_genomic	138642	45.06	0.03
GCA_041390825.1_ASM4139082v1_genomic.fna	GCA_041390825.1	Thermomicrobiales bacterium (bacteria)	97	4347797	Bacteria	GCA_041390825.1_ASM4139082v1_genomic	121631	95.66	1.17
GCA_041390845.1_ASM4139084v1_genomic.fna	GCA_041390845.1	Thermomicrobiales bacterium (bacteria)	76	4168170	Bacteria	GCA_041390845.1_ASM4139084v1_genomic	85733	70.55	1.15
GCA_041390865.1_ASM4139086v1_genomic.fna	GCA_041390865.1	Thermomicrobiales bacterium (bacteria)	51	4591537	Bacteria	GCA_041390865.1_ASM4139086v1_genomic	176906	91.53	3.09
GCA_041390885.1_ASM4139088v1_genomic.fna	GCA_041390885.1	Anaerolineae bacterium (GNS bacteria)	35	6740604	Bacteria	GCA_041390885.1_ASM4139088v1_genomic	411570	87.13	4.28
GCA_041390905.1_ASM4139090v1_genomic.fna	GCA_041390905.1	Chloroflexota bacterium (GNS bacteria)	20	6136996	Bacteria	GCA_041390905.1_ASM4139090v1_genomic	1400197	85.91	3.71
GCA_041390925.1_ASM4139092v1_genomic.fna	GCA_041390925.1	Chloroflexota bacterium (GNS bacteria)	134	6562585	Bacteria	GCA_041390925.1_ASM4139092v1_genomic	94300	94.58	5.64
GCA_041390945.1_ASM4139094v1_genomic.fna	GCA_041390945.1	Chloroflexota bacterium (GNS bacteria)	95	4186271	Bacteria	GCA_041390945.1_ASM4139094v1_genomic	172253	85.84	5.75
GCA_041390965.1_ASM4139096v1_genomic.fna	GCA_041390965.1	Chloroflexota bacterium (GNS bacteria)	242	6281678	Bacteria	GCA_041390965.1_ASM4139096v1_genomic	61547	81.76	13.04
GCA_041390985.1_ASM4139098v1_genomic.fna	GCA_041390985.1	Chloroflexota bacterium (GNS bacteria)	19	4622698	Bacteria	GCA_041390985.1_ASM4139098v1_genomic	807179	99.41	2.24
GCA_041391005.1_ASM4139100v1_genomic.fna	GCA_041391005.1	Caldilineaceae bacterium (GNS bacteria)	113	8416003	Bacteria	GCA_041391005.1_ASM4139100v1_genomic	134601	53.15	5.43
GCA_041391025.1_ASM4139102v1_genomic.fna	GCA_041391025.1	Caldilineaceae bacterium (GNS bacteria)	123	13603741	Bacteria	GCA_041391025.1_ASM4139102v1_genomic	215020	95.75	16.94
GCA_041391045.1_ASM4139104v1_genomic.fna	GCA_041391045.1	Caldilineaceae bacterium (GNS bacteria)	251	3644152	Bacteria	GCA_041391045.1_ASM4139104v1_genomic	29487	53.71	1.39
GCA_041391065.1_ASM4139106v1_genomic.fna	GCA_041391065.1	Caldilineaceae bacterium (GNS bacteria)	90	12176704	Bacteria	GCA_041391065.1_ASM4139106v1_genomic	343240	89.87	11.07
GCA_041391085.1_ASM4139108v1_genomic.fna	GCA_041391085.1	Caldilineaceae bacterium (GNS bacteria)	1	14277107	Bacteria	GCA_041391085.1_ASM4139108v1_genomic	14277107	99.6	11.86
GCA_041391105.1_ASM4139110v1_genomic.fna	GCA_041391105.1	Caldilineaceae bacterium (GNS bacteria)	88	6896474	Bacteria	GCA_041391105.1_ASM4139110v1_genomic	168423	81.64	5.33
GCA_041391125.1_ASM4139112v1_genomic.fna	GCA_041391125.1	Caldilineaceae bacterium (GNS bacteria)	182	8949217	Bacteria	GCA_041391125.1_ASM4139112v1_genomic	100613	86.91	6.9
GCA_041391145.1_ASM4139114v1_genomic.fna	GCA_041391145.1	Caldilineaceae bacterium (GNS bacteria)	56	10663645	Bacteria	GCA_041391145.1_ASM4139114v1_genomic	326216	94.66	12.48
GCA_041391165.1_ASM4139116v1_genomic.fna	GCA_041391165.1	Caldilineaceae bacterium (GNS bacteria)	219	5809489	Bacteria	GCA_041391165.1_ASM4139116v1_genomic	53886	73.67	2.85
GCA_041391185.1_ASM4139118v1_genomic.fna	GCA_041391185.1	Caldilineaceae bacterium (GNS bacteria)	233	3980460	Bacteria	GCA_041391185.1_ASM4139118v1_genomic	30069	46.55	1.87
GCA_041391205.1_ASM4139120v1_genomic.fna	GCA_041391205.1	Caldilineaceae bacterium (GNS bacteria)	206	5473475	Bacteria	GCA_041391205.1_ASM4139120v1_genomic	55264	76.19	3.34
GCA_041391225.1_ASM4139122v1_genomic.fna	GCA_041391225.1	Caldilineaceae bacterium (GNS bacteria)	88	7324567	Bacteria	GCA_041391225.1_ASM4139122v1_genomic	196343	92.49	5.14
GCA_041391245.1_ASM4139124v1_genomic.fna	GCA_041391245.1	Caldilineales bacterium (GNS bacteria)	67	5217497	Bacteria	GCA_041391245.1_ASM4139124v1_genomic	155697	80.24	2.9
GCA_041391265.1_ASM4139126v1_genomic.fna	GCA_041391265.1	Calditrichia bacterium (bacteria)	146	4458588	Bacteria	GCA_041391265.1_ASM4139126v1_genomic	62182	70.46	0.31
GCA_041391285.1_ASM4139128v1_genomic.fna	GCA_041391285.1	Aliarcobacter sp. (e-proteobacteria)	105	2132168	Bacteria	GCA_041391285.1_ASM4139128v1_genomic	53647	72.27	3.9
GCA_041391305.1_ASM4139130v1_genomic.fna	GCA_041391305.1	Calditrichia bacterium (bacteria)	72	5810748	Bacteria	GCA_041391305.1_ASM4139130v1_genomic	266620	97.31	5.3
GCA_041391325.1_ASM4139132v1_genomic.fna	GCA_041391325.1	Caldisericia bacterium (bacteria)	26	1450589	Bacteria	GCA_041391325.1_ASM4139132v1_genomic	79249	47.66	2.88
GCA_041391345.1_ASM4139134v1_genomic.fna	GCA_041391345.1	Bdellovibrionota bacterium (bacteria)	49	2526451	Bacteria	GCA_041391345.1_ASM4139134v1_genomic	96178	56.41	1.59
GCA_041391365.1_ASM4139136v1_genomic.fna	GCA_041391365.1	Bdellovibrionota bacterium (bacteria)	6	2080803	Bacteria	GCA_041391365.1_ASM4139136v1_genomic	641458	90.45	0.17
GCA_041391385.1_ASM4139138v1_genomic.fna	GCA_041391385.1	Bdellovibrionota bacterium (bacteria)	16	2798469	Bacteria	GCA_041391385.1_ASM4139138v1_genomic	400680	89.51	2.04
GCA_041391405.1_ASM4139140v1_genomic.fna	GCA_041391405.1	Bdellovibrionota bacterium (bacteria)	47	1383309	Bacteria	GCA_041391405.1_ASM4139140v1_genomic	69685	54.64	1.56
GCA_041391425.1_ASM4139142v1_genomic.fna	GCA_041391425.1	Bdellovibrionota bacterium (bacteria)	36	4116847	Bacteria	GCA_041391425.1_ASM4139142v1_genomic	351081	92.64	1.67
GCA_041391435.1_ASM4139143v1_genomic.fna	GCA_041391435.1	Bdellovibrionota bacterium (bacteria)	33	2299099	Bacteria	GCA_041391435.1_ASM4139143v1_genomic	203080	77.27	3.59
GCA_041391465.1_ASM4139146v1_genomic.fna	GCA_041391465.1	Bdellovibrionales bacterium (bacteria)	41	2707024	Bacteria	GCA_041391465.1_ASM4139146v1_genomic	107492	59.13	0.35
GCA_041391485.1_ASM4139148v1_genomic.fna	GCA_041391485.1	Bdellovibrionota bacterium (bacteria)	44	3464123	Bacteria	GCA_041391485.1_ASM4139148v1_genomic	102725	78.31	2.27
GCA_041391505.1_ASM4139150v1_genomic.fna	GCA_041391505.1	Rhodothermales bacterium (bacteria)	69	6270469	Bacteria	GCA_041391505.1_ASM4139150v1_genomic	173694	98.15	2.17
GCA_041391525.1_ASM4139152v1_genomic.fna	GCA_041391525.1	Rhodothermales bacterium (bacteria)	39	5010059	Bacteria	GCA_041391525.1_ASM4139152v1_genomic	405086	98.56	0.65
GCA_041391545.1_ASM4139154v1_genomic.fna	GCA_041391545.1	Ignavibacteria bacterium (bacteria)	141	3188340	Bacteria	GCA_041391545.1_ASM4139154v1_genomic	40654	49.89	1.46
GCA_041391565.1_ASM4139156v1_genomic.fna	GCA_041391565.1	Kapaibacterium sp. (SeqCode) (CFB group bacteria)	9	5015398	Bacteria	GCA_041391565.1_ASM4139156v1_genomic	1080366	99.81	1.03
GCA_041391585.1_ASM4139158v1_genomic.fna	GCA_041391585.1	Kapaibacterium sp. (SeqCode) (CFB group bacteria)	9	2892013	Bacteria	GCA_041391585.1_ASM4139158v1_genomic	1477773	100.0	0.43
GCA_041391605.1_ASM4139160v1_genomic.fna	GCA_041391605.1	Bacteroidia bacterium (CFB group bacteria)	48	1985777	Bacteria	GCA_041391605.1_ASM4139160v1_genomic	62126	53.68	0.04
GCA_041391625.1_ASM4139162v1_genomic.fna	GCA_041391625.1	Ignavibacteria bacterium (bacteria)	131	3229295	Bacteria	GCA_041391625.1_ASM4139162v1_genomic	51012	52.38	4.0
GCA_041391645.1_ASM4139164v1_genomic.fna	GCA_041391645.1	Bacteroidia bacterium (CFB group bacteria)	4	3247449	Bacteria	GCA_041391645.1_ASM4139164v1_genomic	1663831	100.0	0.45
GCA_041391665.1_ASM4139166v1_genomic.fna	GCA_041391665.1	Bacteroidia bacterium (CFB group bacteria)	3	7850160	Bacteria	GCA_041391665.1_ASM4139166v1_genomic	2808451	100.0	0.59
GCA_041391685.1_ASM4139168v1_genomic.fna	GCA_041391685.1	Bacteroidia bacterium (CFB group bacteria)	123	3947654	Bacteria	GCA_041391685.1_ASM4139168v1_genomic	53644	47.25	0.03
GCA_041391705.1_ASM4139170v1_genomic.fna	GCA_041391705.1	Bacteroidia bacterium (CFB group bacteria)	151	5965317	Bacteria	GCA_041391705.1_ASM4139170v1_genomic	60108	60.7	1.1
