genome	n_anchors_k16	n_anchors_k8	ratio
GCA_041389945.1_ASM4138994v1_genomic	19199	0	0
GCA_041389965.1_ASM4138996v1_genomic	7164	0	0
GCA_041389985.1_ASM4138998v1_genomic	9563	0	0
GCA_041390005.1_ASM4139000v1_genomic	3091	0	0
GCA_041390025.1_ASM4139002v1_genomic	8563	0	0
GCA_041390045.1_ASM4139004v1_genomic	36414	0	0
GCA_041390065.1_ASM4139006v1_genomic	29905	0	0
GCA_041390085.1_ASM4139008v1_genomic	17291	0	0
GCA_041390105.1_ASM4139010v1_genomic	65670	0	0
GCA_041390125.1_ASM4139012v1_genomic	35011	0	0
GCA_041390145.1_ASM4139014v1_genomic	35287	0	0
GCA_041390165.1_ASM4139016v1_genomic	20414	0	0
GCA_041390185.1_ASM4139018v1_genomic	322	0	0
GCA_041390205.1_ASM4139020v1_genomic	42595	0	0
GCA_041390225.1_ASM4139022v1_genomic	34333	0	0
GCA_041390245.1_ASM4139024v1_genomic	676	0	0
GCA_041390265.1_ASM4139026v1_genomic	833	0	0
GCA_041390285.1_ASM4139028v1_genomic	13606	0	0
GCA_041390305.1_ASM4139030v1_genomic	37747	0	0
GCA_041390325.1_ASM4139032v1_genomic	60768	0	0
GCA_041390345.1_ASM4139034v1_genomic	2956	0	0
GCA_041390365.1_ASM4139036v1_genomic	12109	0	0
GCA_041390385.1_ASM4139038v1_genomic	53	0	0
GCA_041390405.1_ASM4139040v1_genomic	316	0	0
GCA_041390425.1_ASM4139042v1_genomic	527	0	0
GCA_041390445.1_ASM4139044v1_genomic	271	0	0
GCA_041390465.1_ASM4139046v1_genomic	8348	0	0
GCA_041390485.1_ASM4139048v1_genomic	100	0	0
GCA_041390505.1_ASM4139050v1_genomic	8586	0	0
GCA_041390515.1_ASM4139051v1_genomic	3046	0	0
GCA_041390525.1_ASM4139052v1_genomic	6169	0	0
GCA_041390565.1_ASM4139056v1_genomic	2108	0	0
GCA_041390585.1_ASM4139058v1_genomic	30506	0	0
GCA_041390605.1_ASM4139060v1_genomic	15319	0	0
GCA_041390625.1_ASM4139062v1_genomic	32755	0	0
GCA_041390645.1_ASM4139064v1_genomic	24799	0	0
GCA_041390665.1_ASM4139066v1_genomic	12216	0	0
GCA_041390685.1_ASM4139068v1_genomic	12213	20395	1.66994
GCA_041390705.1_ASM4139070v1_genomic	1077	0	0
GCA_041390725.1_ASM4139072v1_genomic	1594	0	0
GCA_041390745.1_ASM4139074v1_genomic	30035	0	0
GCA_041390765.1_ASM4139076v1_genomic	6818	0	0
GCA_041390785.1_ASM4139078v1_genomic	1253	0	0
GCA_041390805.1_ASM4139080v1_genomic	6188	0	0
GCA_041390825.1_ASM4139082v1_genomic	10382	0	0
GCA_041390845.1_ASM4139084v1_genomic	710	0	0
GCA_041390865.1_ASM4139086v1_genomic	1911	0	0
GCA_041390885.1_ASM4139088v1_genomic	42017	0	0
GCA_041390905.1_ASM4139090v1_genomic	50728	0	0
GCA_041390925.1_ASM4139092v1_genomic	28361	0	0
GCA_041390945.1_ASM4139094v1_genomic	23979	0	0
GCA_041390965.1_ASM4139096v1_genomic	27544	0	0
GCA_041390985.1_ASM4139098v1_genomic	34265	0	0
GCA_041391005.1_ASM4139100v1_genomic	4798	0	0
GCA_041391025.1_ASM4139102v1_genomic	131023	0	0
GCA_041391045.1_ASM4139104v1_genomic	636	0	0
GCA_041391065.1_ASM4139106v1_genomic	22847	0	0
GCA_041391085.1_ASM4139108v1_genomic	145057	118345	0.815852
GCA_041391105.1_ASM4139110v1_genomic	313	0	0
GCA_041391125.1_ASM4139112v1_genomic	65872	0	0
GCA_041391145.1_ASM4139114v1_genomic	52218	0	0
GCA_041391165.1_ASM4139116v1_genomic	5287	0	0
GCA_041391185.1_ASM4139118v1_genomic	1384	0	0
GCA_041391205.1_ASM4139120v1_genomic	4266	0	0
GCA_041391225.1_ASM4139122v1_genomic	2507	0	0
GCA_041391245.1_ASM4139124v1_genomic	31479	0	0
GCA_041391265.1_ASM4139126v1_genomic	9807	0	0
GCA_041391285.1_ASM4139128v1_genomic	7220	0	0
GCA_041391305.1_ASM4139130v1_genomic	10999	0	0
GCA_041391325.1_ASM4139132v1_genomic	803	0	0
GCA_041391345.1_ASM4139134v1_genomic	1376	0	0
GCA_041391365.1_ASM4139136v1_genomic	13091	0	0
GCA_041391385.1_ASM4139138v1_genomic	7251	0	0
GCA_041391405.1_ASM4139140v1_genomic	2510	0	0
GCA_041391425.1_ASM4139142v1_genomic	2224	0	0
GCA_041391435.1_ASM4139143v1_genomic	1839	0	0
GCA_041391465.1_ASM4139146v1_genomic	1228	0	0
GCA_041391485.1_ASM4139148v1_genomic	18568	0	0
GCA_041391505.1_ASM4139150v1_genomic	18646	0	0
GCA_041391525.1_ASM4139152v1_genomic	64488	0	0
GCA_041391545.1_ASM4139154v1_genomic	2459	0	0
GCA_041391565.1_ASM4139156v1_genomic	56992	0	0
GCA_041391585.1_ASM4139158v1_genomic	7216	0	0
GCA_041391605.1_ASM4139160v1_genomic	10794	0	0
GCA_041391625.1_ASM4139162v1_genomic	3049	0	0
GCA_041391645.1_ASM4139164v1_genomic	13965	0	0
GCA_041391665.1_ASM4139166v1_genomic	64194	0	0
GCA_041391685.1_ASM4139168v1_genomic	9928	0	0
GCA_041391705.1_ASM4139170v1_genomic	24521	0	0
GCA_041391725.1_ASM4139172v1_genomic	17791	0	0
GCA_041391745.1_ASM4139174v1_genomic	5688	0	0
GCA_041391765.1_ASM4139176v1_genomic	22322	0	0
GCA_041391785.1_ASM4139178v1_genomic	39114	0	0
GCA_041391805.1_ASM4139180v1_genomic	35798	0	0
GCA_041391825.1_ASM4139182v1_genomic	9335	0	0
GCA_041391845.1_ASM4139184v1_genomic	34873	0	0
GCA_041391865.1_ASM4139186v1_genomic	46896	0	0
GCA_041391885.1_ASM4139188v1_genomic	2378	0	0
GCA_041391905.1_ASM4139190v1_genomic	12204	0	0
GCA_041391925.1_ASM4139192v1_genomic	23251	0	0
GCA_041391945.1_ASM4139194v1_genomic	35797	0	0
GCA_041391965.1_ASM4139196v1_genomic	16091	0	0
GCA_041391985.1_ASM4139198v1_genomic	8211	0	0
GCA_041392005.1_ASM4139200v1_genomic	7855	0	0
GCA_041392025.1_ASM4139202v1_genomic	15487	0	0
GCA_041392045.1_ASM4139204v1_genomic	4120	0	0
GCA_041392065.1_ASM4139206v1_genomic	7893	0	0
GCA_041392085.1_ASM4139208v1_genomic	3380	0	0
GCA_041392105.1_ASM4139210v1_genomic	15345	0	0
GCA_041392125.1_ASM4139212v1_genomic	8462	0	0
GCA_041392145.1_ASM4139214v1_genomic	6878	0	0
GCA_041392165.1_ASM4139216v1_genomic	16928	0	0
GCA_041392175.1_ASM4139217v1_genomic	6897	0	0
GCA_041392205.1_ASM4139220v1_genomic	3679	0	0
GCA_041392225.1_ASM4139222v1_genomic	13757	0	0
GCA_041392235.1_ASM4139223v1_genomic	21698	0	0
GCA_041392255.1_ASM4139225v1_genomic	21874	0	0
GCA_041392275.1_ASM4139227v1_genomic	10243	0	0
GCA_041392305.1_ASM4139230v1_genomic	20469	0	0
GCA_041392315.1_ASM4139231v1_genomic	3771	0	0
GCA_041392325.1_ASM4139232v1_genomic	38873	0	0
GCA_041392355.1_ASM4139235v1_genomic	160	0	0
GCA_041392385.1_ASM4139238v1_genomic	23623	0	0
GCA_041392405.1_ASM4139240v1_genomic	1117	0	0
GCA_041392415.1_ASM4139241v1_genomic	5073	0	0
GCA_041392425.1_ASM4139242v1_genomic	2255	0	0
GCA_041392465.1_ASM4139246v1_genomic	9002	0	0
GCA_041392475.1_ASM4139247v1_genomic	52585	0	0
GCA_041392505.1_ASM4139250v1_genomic	16974	0	0
GCA_041392515.1_ASM4139251v1_genomic	43245	0	0
GCA_041392545.1_ASM4139254v1_genomic	28396	0	0
GCA_041392555.1_ASM4139255v1_genomic	4071	0	0
GCA_041392585.1_ASM4139258v1_genomic	15023	0	0
GCA_041392605.1_ASM4139260v1_genomic	20353	0	0
GCA_041392615.1_ASM4139261v1_genomic	1950	0	0
GCA_041392625.1_ASM4139262v1_genomic	19180	0	0
GCA_041392665.1_ASM4139266v1_genomic	56143	0	0
GCA_041392685.1_ASM4139268v1_genomic	62533	0	0
GCA_041392695.1_ASM4139269v1_genomic	729	0	0
GCA_041392715.1_ASM4139271v1_genomic	833	0	0
GCA_041392725.1_ASM4139272v1_genomic	3081	0	0
GCA_041392765.1_ASM4139276v1_genomic	10272	0	0
GCA_041392785.1_ASM4139278v1_genomic	10811	0	0
GCA_041392805.1_ASM4139280v1_genomic	70971	0	0
GCA_041392825.1_ASM4139282v1_genomic	19195	0	0
GCA_041392835.1_ASM4139283v1_genomic	10333	0	0
GCA_041392845.1_ASM4139284v1_genomic	4116	0	0
GCA_041392855.1_ASM4139285v1_genomic	19383	0	0
GCA_041392895.1_ASM4139289v1_genomic	7484	0	0
GCA_041392925.1_ASM4139292v1_genomic	852	0	0
GCA_041392935.1_ASM4139293v1_genomic	7600	0	0
GCA_041392945.1_ASM4139294v1_genomic	29287	0	0
GCA_041392955.1_ASM4139295v1_genomic	26265	0	0
GCA_041392965.1_ASM4139296v1_genomic	7852	0	0
GCA_041393015.1_ASM4139301v1_genomic	6683	0	0
GCA_041393035.1_ASM4139303v1_genomic	13013	0	0
GCA_041393055.1_ASM4139305v1_genomic	1352	0	0
GCA_041393075.1_ASM4139307v1_genomic	16343	0	0
GCA_041393095.1_ASM4139309v1_genomic	1528	0	0
GCA_041393115.1_ASM4139311v1_genomic	945	0	0
GCA_041393135.1_ASM4139313v1_genomic	1605	0	0
GCA_041393155.1_ASM4139315v1_genomic	522	0	0
GCA_041393175.1_ASM4139317v1_genomic	376	0	0
GCA_041393195.1_ASM4139319v1_genomic	10899	0	0
GCA_041393215.1_ASM4139321v1_genomic	31908	0	0
GCA_041393235.1_ASM4139323v1_genomic	2855	0	0
GCA_041393255.1_ASM4139325v1_genomic	8909	0	0
GCA_041393275.1_ASM4139327v1_genomic	3150	0	0
GCA_041393295.1_ASM4139329v1_genomic	5622	0	0
GCA_041393315.1_ASM4139331v1_genomic	3920	0	0
GCA_041393335.1_ASM4139333v1_genomic	508	0	0
GCA_041393355.1_ASM4139335v1_genomic	13657	0	0
GCA_041393375.1_ASM4139337v1_genomic	10982	0	0
GCA_041393395.1_ASM4139339v1_genomic	52341	0	0
GCA_041393415.1_ASM4139341v1_genomic	3363	0	0
GCA_041393435.1_ASM4139343v1_genomic	14588	0	0
GCA_041393445.1_ASM4139344v1_genomic	15424	0	0
GCA_041393475.1_ASM4139347v1_genomic	19613	0	0
GCA_041393495.1_ASM4139349v1_genomic	18254	0	0
GCA_041393515.1_ASM4139351v1_genomic	29000	0	0
GCA_041393535.1_ASM4139353v1_genomic	23710	0	0
GCA_041393555.1_ASM4139355v1_genomic	14017	0	0
GCA_041393575.1_ASM4139357v1_genomic	10331	0	0
GCA_041393595.1_ASM4139359v1_genomic	876	0	0
GCA_041393615.1_ASM4139361v1_genomic	1894	0	0
GCA_041393635.1_ASM4139363v1_genomic	13452	0	0
GCA_041393655.1_ASM4139365v1_genomic	3688	0	0
GCA_041393675.1_ASM4139367v1_genomic	4297	0	0
GCA_041393695.1_ASM4139369v1_genomic	2689	0	0
GCA_041393715.1_ASM4139371v1_genomic	23131	0	0
GCA_041393735.1_ASM4139373v1_genomic	348	0	0
GCA_041393755.1_ASM4139375v1_genomic	4956	0	0
GCA_041393775.1_ASM4139377v1_genomic	37564	0	0
GCA_041393795.1_ASM4139379v1_genomic	14106	0	0
GCA_041393815.1_ASM4139381v1_genomic	46471	0	0
GCA_041393835.1_ASM4139383v1_genomic	24732	0	0
GCA_041393855.1_ASM4139385v1_genomic	29094	0	0
GCA_041393875.1_ASM4139387v1_genomic	48594	0	0
GCA_041393895.1_ASM4139389v1_genomic	3040	0	0
GCA_041393925.1_ASM4139392v1_genomic	228	0	0
GCA_041393945.1_ASM4139394v1_genomic	10148	0	0
GCA_041393965.1_ASM4139396v1_genomic	15868	0	0
GCA_041393985.1_ASM4139398v1_genomic	1980	0	0
GCA_041394005.1_ASM4139400v1_genomic	4919	0	0
GCA_041394025.1_ASM4139402v1_genomic	31721	0	0
GCA_041394045.1_ASM4139404v1_genomic	565	0	0
GCA_041394065.1_ASM4139406v1_genomic	16831	0	0
GCA_041394085.1_ASM4139408v1_genomic	4199	0	0
GCA_041394105.1_ASM4139410v1_genomic	5616	0	0
GCA_041394125.1_ASM4139412v1_genomic	9168	0	0
GCA_041394145.1_ASM4139414v1_genomic	37800	0	0
GCA_041394165.1_ASM4139416v1_genomic	2575	0	0
GCA_041394185.1_ASM4139418v1_genomic	14072	0	0
GCA_041394205.1_ASM4139420v1_genomic	1856	0	0
GCA_041394225.1_ASM4139422v1_genomic	32627	0	0
GCA_041394245.1_ASM4139424v1_genomic	19305	0	0
GCA_041394265.1_ASM4139426v1_genomic	3375	0	0
GCA_041394285.1_ASM4139428v1_genomic	67846	0	0
GCA_041394305.1_ASM4139430v1_genomic	1630	0	0
GCA_041394325.1_ASM4139432v1_genomic	16972	0	0
GCA_041394345.1_ASM4139434v1_genomic	6174	0	0
GCA_041394365.1_ASM4139436v1_genomic	3872	0	0
GCA_041394385.1_ASM4139438v1_genomic	25907	0	0
GCA_041394405.1_ASM4139440v1_genomic	21522	0	0
GCA_041394425.1_ASM4139442v1_genomic	1743	0	0
GCA_041394445.1_ASM4139444v1_genomic	462	0	0
GCA_041394465.1_ASM4139446v1_genomic	8925	0	0
GCA_041394485.1_ASM4139448v1_genomic	6426	0	0
GCA_041394505.1_ASM4139450v1_genomic	7265	0	0
GCA_041394525.1_ASM4139452v1_genomic	10045	0	0
GCA_041394545.1_ASM4139454v1_genomic	33013	0	0
GCA_041394565.1_ASM4139456v1_genomic	17392	0	0
GCA_041394585.1_ASM4139458v1_genomic	210	0	0
GCA_041394605.1_ASM4139460v1_genomic	14975	0	0
GCA_041394625.1_ASM4139462v1_genomic	2935	0	0
GCA_041394645.1_ASM4139464v1_genomic	5171	0	0
GCA_041394665.1_ASM4139466v1_genomic	33216	0	0
GCA_041394685.1_ASM4139468v1_genomic	43117	0	0
GCA_041394705.1_ASM4139470v1_genomic	36252	0	0
GCA_041394725.1_ASM4139472v1_genomic	55844	0	0
GCA_041394745.1_ASM4139474v1_genomic	33169	0	0
GCA_041394755.1_ASM4139475v1_genomic	3776	0	0
GCA_041394785.1_ASM4139478v1_genomic	22283	0	0
GCA_041394795.1_ASM4139479v1_genomic	26361	0	0
GCA_041394825.1_ASM4139482v1_genomic	9085	0	0
GCA_041394845.1_ASM4139484v1_genomic	52167	0	0
GCA_041394865.1_ASM4139486v1_genomic	18011	0	0
GCA_041394885.1_ASM4139488v1_genomic	77334	0	0
GCA_041394905.1_ASM4139490v1_genomic	9364	0	0
GCA_041394945.1_ASM4139494v1_genomic	30284	0	0
GCA_041394985.1_ASM4139498v1_genomic	6150	24633	4.00537
GCA_041395025.1_ASM4139502v1_genomic	1437	6289	4.37648
GCA_041395045.1_ASM4139504v1_genomic	15234	0	0
GCA_041395065.1_ASM4139506v1_genomic	42380	0	0
GCA_041395085.1_ASM4139508v1_genomic	34028	0	0
GCA_041395105.1_ASM4139510v1_genomic	18286	0	0
GCA_041395125.1_ASM4139512v1_genomic	25525	0	0
GCA_041395145.1_ASM4139514v1_genomic	30840	0	0
GCA_041395165.1_ASM4139516v1_genomic	9911	0	0
GCA_041395185.1_ASM4139518v1_genomic	4914	0	0
GCA_041395205.1_ASM4139520v1_genomic	6683	0	0
GCA_041395225.1_ASM4139522v1_genomic	5763	0	0
GCA_041395245.1_ASM4139524v1_genomic	30721	0	0
GCA_041395265.1_ASM4139526v1_genomic	3987	0	0
GCA_041395285.1_ASM4139528v1_genomic	32901	0	0
GCA_041395305.1_ASM4139530v1_genomic	18002	0	0
GCA_041395325.1_ASM4139532v1_genomic	35584	0	0
GCA_041395345.1_ASM4139534v1_genomic	24314	0	0
GCA_041395365.1_ASM4139536v1_genomic	46147	0	0
GCA_041395385.1_ASM4139538v1_genomic	13278	0	0
GCA_041395405.1_ASM4139540v1_genomic	16242	0	0
GCA_041395425.1_ASM4139542v1_genomic	6732	0	0
GCA_041395445.1_ASM4139544v1_genomic	20508	0	0
GCA_041395465.1_ASM4139546v1_genomic	10028	0	0
GCA_041395485.1_ASM4139548v1_genomic	15993	0	0
GCA_041395505.1_ASM4139550v1_genomic	43370	0	0
GCA_041395525.1_ASM4139552v1_genomic	16611	0	0
GCA_041395545.1_ASM4139554v1_genomic	15891	0	0
GCA_041395565.1_ASM4139556v1_genomic	22358	0	0
GCA_041395585.1_ASM4139558v1_genomic	36476	0	0
GCA_041395605.1_ASM4139560v1_genomic	3675	0	0
GCA_041395625.1_ASM4139562v1_genomic	47160	0	0
GCA_041395645.1_ASM4139564v1_genomic	12575	0	0
GCA_041395665.1_ASM4139566v1_genomic	6399	0	0
GCA_041395675.1_ASM4139567v1_genomic	159	0	0
GCA_041395705.1_ASM4139570v1_genomic	2454	0	0
GCA_041395725.1_ASM4139572v1_genomic	32706	39975	1.22225
GCA_041395745.1_ASM4139574v1_genomic	4585	0	0
GCA_041395765.1_ASM4139576v1_genomic	26233	0	0
GCA_041395785.1_ASM4139578v1_genomic	2914	0	0
GCA_041395805.1_ASM4139580v1_genomic	4988	0	0
GCA_041395825.1_ASM4139582v1_genomic	5244	0	0
GCA_041395845.1_ASM4139584v1_genomic	12764	0	0
GCA_041395865.1_ASM4139586v1_genomic	8805	0	0
GCA_041395885.1_ASM4139588v1_genomic	18068	0	0
GCA_041395905.1_ASM4139590v1_genomic	32128	0	0
GCA_041395925.1_ASM4139592v1_genomic	34869	0	0
GCA_041395945.1_ASM4139594v1_genomic	49690	0	0
GCA_041395965.1_ASM4139596v1_genomic	28058	0	0
GCA_041395985.1_ASM4139598v1_genomic	19683	0	0
GCA_041396005.1_ASM4139600v1_genomic	10345	0	0
GCA_041396025.1_ASM4139602v1_genomic	35910	0	0
GCA_041396045.1_ASM4139604v1_genomic	34279	0	0
GCA_041396065.1_ASM4139606v1_genomic	13434	0	0
GCA_041396085.1_ASM4139608v1_genomic	11920	0	0
GCA_041396105.1_ASM4139610v1_genomic	4227	0	0
GCA_041396125.1_ASM4139612v1_genomic	12149	0	0
GCA_041396145.1_ASM4139614v1_genomic	2110	0	0
GCA_041396165.1_ASM4139616v1_genomic	41887	0	0
GCA_041396185.1_ASM4139618v1_genomic	13419	0	0
GCA_041396205.1_ASM4139620v1_genomic	9325	0	0
GCA_041396225.1_ASM4139622v1_genomic	22032	0	0
GCA_041396245.1_ASM4139624v1_genomic	11839	0	0
GCA_041396265.1_ASM4139626v1_genomic	24258	0	0
GCA_041396285.1_ASM4139628v1_genomic	12129	0	0
GCA_041396305.1_ASM4139630v1_genomic	27269	0	0
GCA_041396325.1_ASM4139632v1_genomic	30984	26677	0.860993
GCA_041396345.1_ASM4139634v1_genomic	18757	0	0
GCA_041396365.1_ASM4139636v1_genomic	10994	0	0
GCA_041396385.1_ASM4139638v1_genomic	15755	0	0
GCA_041396405.1_ASM4139640v1_genomic	13836	0	0
GCA_041396425.1_ASM4139642v1_genomic	1913	0	0
GCA_041396445.1_ASM4139644v1_genomic	38623	0	0
GCA_041396465.1_ASM4139646v1_genomic	5864	0	0
GCA_041396485.1_ASM4139648v1_genomic	9693	0	0
GCA_041396505.1_ASM4139650v1_genomic	4003	0	0
GCA_041396525.1_ASM4139652v1_genomic	850	0	0
GCA_041396545.1_ASM4139654v1_genomic	811	0	0
GCA_041396565.1_ASM4139656v1_genomic	5839	0	0
GCA_041396585.1_ASM4139658v1_genomic	13628	0	0
GCA_041396605.1_ASM4139660v1_genomic	19245	0	0
GCA_041396625.1_ASM4139662v1_genomic	10155	0	0
GCA_041396645.1_ASM4139664v1_genomic	8843	0	0
GCA_041396665.1_ASM4139666v1_genomic	5371	0	0
GCA_041396685.1_ASM4139668v1_genomic	17514	0	0
GCA_041396705.1_ASM4139670v1_genomic	33067	0	0
GCA_041396725.1_ASM4139672v1_genomic	5474	0	0
GCA_041396745.1_ASM4139674v1_genomic	25679	0	0
GCA_041396765.1_ASM4139676v1_genomic	11290	0	0
GCA_041396785.1_ASM4139678v1_genomic	16307	0	0
GCA_041396805.1_ASM4139680v1_genomic	7585	0	0
GCA_041396825.1_ASM4139682v1_genomic	11241	0	0
GCA_041396845.1_ASM4139684v1_genomic	14653	0	0
GCA_041396865.1_ASM4139686v1_genomic	4806	0	0
GCA_041396885.1_ASM4139688v1_genomic	20692	0	0
GCA_041396905.1_ASM4139690v1_genomic	11264	0	0
GCA_041396925.1_ASM4139692v1_genomic	12798	0	0
GCA_041396945.1_ASM4139694v1_genomic	11516	0	0
GCA_041396965.1_ASM4139696v1_genomic	13373	0	0
GCA_041396985.1_ASM4139698v1_genomic	27049	0	0
GCA_041397005.1_ASM4139700v1_genomic	2923	0	0
GCA_041397015.1_ASM4139701v1_genomic	11613	0	0
GCA_041397045.1_ASM4139704v1_genomic	8208	0	0
GCA_041397065.1_ASM4139706v1_genomic	10479	0	0
GCA_041397085.1_ASM4139708v1_genomic	28826	0	0
GCA_041397105.1_ASM4139710v1_genomic	23519	0	0
GCA_041397125.1_ASM4139712v1_genomic	30953	0	0
GCA_041397145.1_ASM4139714v1_genomic	15794	0	0
GCA_041397165.1_ASM4139716v1_genomic	12699	0	0
GCA_041397185.1_ASM4139718v1_genomic	689	0	0
GCA_041397205.1_ASM4139720v1_genomic	1249	0	0
GCA_041397225.1_ASM4139722v1_genomic	28585	0	0
GCA_041397245.1_ASM4139724v1_genomic	961	0	0
GCA_041397265.1_ASM4139726v1_genomic	17008	0	0
GCA_041397285.1_ASM4139728v1_genomic	1905	0	0
GCA_041397305.1_ASM4139730v1_genomic	29721	0	0
GCA_041397325.1_ASM4139732v1_genomic	6792	0	0
GCA_041397345.1_ASM4139734v1_genomic	9427	0	0
GCA_041397365.1_ASM4139736v1_genomic	3809	0	0
GCA_041397385.1_ASM4139738v1_genomic	11036	0	0
GCA_041397405.1_ASM4139740v1_genomic	33510	0	0
GCA_041397425.1_ASM4139742v1_genomic	12489	0	0
GCA_041397445.1_ASM4139744v1_genomic	18657	0	0
GCA_041397465.1_ASM4139746v1_genomic	43398	0	0
GCA_041397485.1_ASM4139748v1_genomic	9723	0	0
GCA_041397505.1_ASM4139750v1_genomic	6221	0	0
GCA_041397525.1_ASM4139752v1_genomic	17949	0	0
GCA_041397545.1_ASM4139754v1_genomic	17945	0	0
GCA_041397565.1_ASM4139756v1_genomic	18798	0	0
GCA_041397585.1_ASM4139758v1_genomic	14006	0	0
GCA_041397605.1_ASM4139760v1_genomic	8908	0	0
GCA_041397625.1_ASM4139762v1_genomic	33491	0	0
GCA_041397645.1_ASM4139764v1_genomic	42274	0	0
GCA_041397665.1_ASM4139766v1_genomic	3827	0	0
GCA_041397675.1_ASM4139767v1_genomic	1367	0	0
GCA_041397705.1_ASM4139770v1_genomic	21997	0	0
GCA_041397725.1_ASM4139772v1_genomic	25574	0	0
GCA_041397745.1_ASM4139774v1_genomic	15174	0	0
GCA_041397765.1_ASM4139776v1_genomic	23873	0	0
GCA_041397775.1_ASM4139777v1_genomic	12827	0	0
GCA_041397805.1_ASM4139780v1_genomic	24644	0	0
GCA_041397825.1_ASM4139782v1_genomic	42592	0	0
GCA_041397845.1_ASM4139784v1_genomic	15938	0	0
GCA_041397865.1_ASM4139786v1_genomic	3051	0	0
GCA_041397885.1_ASM4139788v1_genomic	5977	0	0
GCA_041397905.1_ASM4139790v1_genomic	10737	0	0
GCA_041397925.1_ASM4139792v1_genomic	1475	0	0
GCA_041397945.1_ASM4139794v1_genomic	4890	0	0
GCA_041397965.1_ASM4139796v1_genomic	25868	0	0
GCA_041397985.1_ASM4139798v1_genomic	44844	0	0
GCA_041398005.1_ASM4139800v1_genomic	18890	0	0
GCA_041398025.1_ASM4139802v1_genomic	71787	0	0
GCA_041398035.1_ASM4139803v1_genomic	20732	0	0
GCA_041398065.1_ASM4139806v1_genomic	53345	0	0
GCA_041398085.1_ASM4139808v1_genomic	26395	0	0
GCA_041398105.1_ASM4139810v1_genomic	18850	0	0
GCA_041398125.1_ASM4139812v1_genomic	510	0	0
GCA_041398145.1_ASM4139814v1_genomic	3427	0	0
GCA_041398165.1_ASM4139816v1_genomic	7407	0	0
GCA_041398185.1_ASM4139818v1_genomic	3734	0	0
GCA_041398205.1_ASM4139820v1_genomic	10191	0	0
GCA_041398225.1_ASM4139822v1_genomic	6860	0	0
GCA_041398245.1_ASM4139824v1_genomic	14514	0	0
GCA_041398265.1_ASM4139826v1_genomic	19354	0	0
GCA_041398285.1_ASM4139828v1_genomic	11556	0	0
GCA_041398305.1_ASM4139830v1_genomic	17201	0	0
GCA_041398325.1_ASM4139832v1_genomic	1965	0	0
GCA_041398345.1_ASM4139834v1_genomic	21835	0	0
