genome	gc	mode	tag_len	n_landmarks	n_unique	pairs_le1_uu	pairs_le1_um	pairs_le1_mm	pairs_le2_uu	pairs_le2_um	pairs_le2_mm
g05_Staphylococcus_aureus	33.0	fmh_k16matched	31	18258	17517	0	0	0	0	0	0
g06_Bacillus_subtilis	43.5	enzyme_k16	25	3338	3116	5	12	0	15	22	0
g06_Bacillus_subtilis	43.5	enzyme_k16	27	24068	23148	28	30	0	40	56	0
g06_Bacillus_subtilis	43.5	enzyme_k16	28	4701	4402	5	23	16	9	23	16
g06_Bacillus_subtilis	43.5	enzyme_k16	32	2790	2698	1	8	0	1	8	0
g06_Bacillus_subtilis	43.5	enzyme_k16	33	300	278	0	0	0	0	0	0
g06_Bacillus_subtilis	43.5	fmh_k16matched	31	35438	34071	0	8	0	0	8	0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	25	3136	3027	1	2	6	1	7	6
g07_Bacillus_atrophaeus	43.48	enzyme_k16	27	23285	22885	8	24	0	30	24	0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	28	4315	4196	8	3	0	16	12	0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	32	2397	2387	1	0	0	1	0	0
g07_Bacillus_atrophaeus	43.48	enzyme_k16	33	284	276	0	0	0	1	0	0
g07_Bacillus_atrophaeus	43.48	fmh_k16matched	31	33620	33266	0	0	0	0	0	0
g08_Escherichia_coli	50.8	enzyme_k16	25	3206	2937	4	20	12	8	42	31
g08_Escherichia_coli	50.8	enzyme_k16	27	28504	27185	59	155	288	102	369	352
g08_Escherichia_coli	50.8	enzyme_k16	28	11012	10615	12	25	20	21	39	35
g08_Escherichia_coli	50.8	enzyme_k16	32	5432	5269	8	0	0	13	2	0
g08_Escherichia_coli	50.8	enzyme_k16	33	647	617	0	0	20	1	0	30
g08_Escherichia_coli	50.8	fmh_k16matched	31	48492	46654	0	3	6	1	3	6
g09_Escherichia_sp005843885	50.74	enzyme_k16	25	3276	2924	4	0	4	6	7	4
g09_Escherichia_sp005843885	50.74	enzyme_k16	27	28655	27153	64	409	830	173	1023	1054
g09_Escherichia_sp005843885	50.74	enzyme_k16	28	11091	10535	18	10	22	33	16	38
g09_Escherichia_sp005843885	50.74	enzyme_k16	32	5392	5223	9	11	4	13	17	4
g09_Escherichia_sp005843885	50.74	enzyme_k16	33	697	673	1	3	0	1	3	0
g09_Escherichia_sp005843885	50.74	fmh_k16matched	31	49466	47378	1	10	12	5	10	12
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	25	5305	4987	3	8	48	9	27	48
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	27	32332	31128	41	72	65	82	85	83
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	28	9763	9344	14	37	0	22	47	6
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	32	6985	6842	9	6	6	16	10	6
g10_Klebsiella_pneumoniae	57.0	enzyme_k16	33	493	457	2	0	4	3	0	4
g10_Klebsiella_pneumoniae	57.0	fmh_k16matched	31	55212	53558	1	0	8	1	0	8
g11_Klebsiella_variicola	57.02	enzyme_k16	25	5205	5034	5	32	40	11	54	40
g11_Klebsiella_variicola	57.02	enzyme_k16	27	31843	31194	38	69	110	76	100	127
g11_Klebsiella_variicola	57.02	enzyme_k16	28	9744	9559	7	10	0	11	12	0
g11_Klebsiella_variicola	57.02	enzyme_k16	32	6974	6892	2	2	6	2	2	6
g11_Klebsiella_variicola	57.02	enzyme_k16	33	504	490	0	0	0	0	0	0
g11_Klebsiella_variicola	57.02	fmh_k16matched	31	54499	53693	2	0	0	2	0	10
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	25	4263	4050	6	9	2	10	13	2
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	27	29605	28628	45	171	452	135	604	639
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	28	13858	13537	17	33	61	38	70	81
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	32	11434	11190	14	16	26	42	37	38
g12_Aquipseudomonas_alloputida	61.52	enzyme_k16	33	878	858	1	0	0	1	0	0
g12_Aquipseudomonas_alloputida	61.52	fmh_k16matched	31	60105	58359	1	2	4	4	7	4
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	25	9008	8545	10	7	0	18	23	127
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	27	38623	36463	84	54	281	169	106	318
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	28	12413	11654	19	19	122	39	51	126
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	32	12425	11817	10	2	4	37	23	126
g13_Pseudomonas_aeruginosa	65.3	enzyme_k16	33	483	407	0	0	0	0	0	0
g13_Pseudomonas_aeruginosa	65.3	fmh_k16matched	31	73196	69112	0	8	18	2	8	18
g14_Mycobacterium_kubicae	66.01	enzyme_k16	25	10444	9793	18	11	6	34	31	6
g14_Mycobacterium_kubicae	66.01	enzyme_k16	27	41125	38828	74	62	49	152	141	65
g14_Mycobacterium_kubicae	66.01	enzyme_k16	28	11466	10765	10	22	7	21	34	7
g14_Mycobacterium_kubicae	66.01	enzyme_k16	32	9696	9103	8	8	15	16	9	29
g14_Mycobacterium_kubicae	66.01	enzyme_k16	33	553	492	2	0	0	2	0	0
g14_Mycobacterium_kubicae	66.01	fmh_k16matched	31	73974	69626	2	0	6	3	0	6
g15_Mycobacterium_peregrinum	66.06	enzyme_k16	25	13383	13012	13	1	0	37	7	6
g15_Mycobacterium_peregrinum	66.06	enzyme_k16	27	54873	53162	62	20	54	194	52	77
g15_Mycobacterium_peregrinum	66.06	enzyme_k16	28	14373	13865	19	0	12	46	5	30
g15_Mycobacterium_peregrinum	66.06	enzyme_k16	32	12267	11960	7	6	0	15	13	24
g15_Mycobacterium_peregrinum	66.06	enzyme_k16	33	573	551	0	0	6	1	0	6
g15_Mycobacterium_peregrinum	66.06	fmh_k16matched	31	94862	92108	0	0	0	2	0	0
g16_Streptomyces_violaceoruber	72.0	enzyme_k16	25	30375	29388	55	19	0	178	36	6
g16_Streptomyces_violaceoruber	72.0	enzyme_k16	27	55573	53127	169	49	0	370	99	0
g16_Streptomyces_violaceoruber	72.0	enzyme_k16	28	13975	13340	15	8	0	51	25	0
g16_Streptomyces_violaceoruber	72.0	enzyme_k16	32	12342	11900	19	17	0	39	18	2
g16_Streptomyces_violaceoruber	72.0	enzyme_k16	33	232	214	0	0	0	0	0	0
g16_Streptomyces_violaceoruber	72.0	fmh_k16matched	31	113144	108816	3	0	0	6	2	0
g17_Streptomyces_fungicidicus	72.01	enzyme_k16	25	28750	28242	37	33	20	133	59	34
g17_Streptomyces_fungicidicus	72.01	enzyme_k16	27	51612	50568	147	85	36	360	113	46
g17_Streptomyces_fungicidicus	72.01	enzyme_k16	28	12548	12301	27	10	5	68	18	7
g17_Streptomyces_fungicidicus	72.01	enzyme_k16	32	10879	10703	14	9	0	36	14	0
g17_Streptomyces_fungicidicus	72.01	enzyme_k16	33	189	180	0	0	0	0	0	0
g17_Streptomyces_fungicidicus	72.01	fmh_k16matched	31	104326	102399	3	0	0	5	2	0
