genome_id	gc	ncbi_accession	gtdb_species	gtdb_gc	size_bp	contigs
g041_GCF_900083065_1	32.77	GCF_900083065.1	GCF_900083065.1	32.7747	2784561	19
g042_GCF_900082305_1	32.80	GCF_900082305.1	GCF_900082305.1	32.8015	2861270	37
g043_GCF_006364675_1	32.83	GCF_006364675.1	GCF_006364675.1	32.8337	2787057	3
g044_GCF_900458235_1	32.88	GCF_900458235.1	GCF_900458235.1	32.8809	2923343	2
g045_GCA_002792115_1	33.22	GCA_002792115.1	GCA_002792115.1	33.2196	1329853	57
g046_GCA_002254285_1	33.67	GCA_002254285.1	GCA_002254285.1	33.6702	2227754	191
g047_GCA_029240435_1	34.04	GCA_029240435.1	GCA_029240435.1	34.0431	3072272	403
g048_GCA_002504695_1	34.49	GCA_002504695.1	GCA_002504695.1	34.4902	1661706	117
g049_GCA_949024825_1	34.71	GCA_949024825.1	GCA_949024825.1	34.7055	1534505	84
g050_GCF_925281505_1	34.97	GCF_925281505.1	GCF_925281505.1	34.9696	2417094	11
g051_GCA_964030905_1	35.04	GCA_964030905.1	GCA_964030905.1	35.0400	1414358	1
g052_GCA_947444095_1	35.10	GCA_947444095.1	GCA_947444095.1	35.1033	2257652	198
g053_GCA_902642205_1	35.18	GCA_902642205.1	GCA_902642205.1	35.1805	1186085	136
g054_GCF_029536375_1	35.27	GCF_029536375.1	GCF_029536375.1	35.2675	5659676	113
g055_GCA_963976755_1	35.34	GCA_963976755.1	GCA_963976755.1	35.3412	2430145	520
g056_GCA_964022085_1	35.51	GCA_964022085.1	GCA_964022085.1	35.5055	2110270	71
g057_GCA_948664835_1	35.63	GCA_948664835.1	GCA_948664835.1	35.6329	1103087	35
g058_GCF_000322625_1	35.78	GCF_000322625.1	GCF_000322625.1	35.7812	2162773	69
g059_GCA_949290325_1	36.17	GCA_949290325.1	GCA_949290325.1	36.1731	1676068	51
g060_GCF_039566805_1	36.56	GCF_039566805.1	GCF_039566805.1	36.5571	2011185	129
g061_GCF_027153465_1	36.69	GCF_027153465.1	GCF_027153465.1	36.6903	2138831	209
g062_GCF_013778545_1	36.86	GCF_013778545.1	GCF_013778545.1	36.8639	2289178	57
g063_GCF_004126365_1	37.11	GCF_004126365.1	GCF_004126365.1	37.1121	3090562	39
g064_GCF_038899595_1	37.17	GCF_038899595.1	GCF_038899595.1	37.1686	3026120	129
g065_GCA_018698955_1	37.28	GCA_018698955.1	GCA_018698955.1	37.2752	2432151	436
g066_GCA_963517675_1	37.36	GCA_963517675.1	GCA_963517675.1	37.3613	2842805	15
g067_GCA_025268635_1	37.51	GCA_025268635.1	GCA_025268635.1	37.5084	1418750	3
g068_GCF_002902125_1	37.62	GCF_002902125.1	GCF_002902125.1	37.6210	2507403	245
g069_GCF_008633485_1	37.75	GCF_008633485.1	GCF_008633485.1	37.7544	1813578	7
g070_GCF_000729285_1	37.87	GCF_000729285.1	GCF_000729285.1	37.8696	2948642	16
g071_GCF_029831825_1	37.93	GCF_029831825.1	GCF_029831825.1	37.9344	2974132	6
g072_GCF_041755645_1	38.02	GCF_041755645.1	GCF_041755645.1	38.0179	2921572	1
g073_GCA_950075365_1	38.11	GCA_950075365.1	GCA_950075365.1	38.1105	1960053	242
g074_GCF_039666775_1	38.26	GCF_039666775.1	GCF_039666775.1	38.2613	1821678	25
g075_GCA_019335925_1	38.38	GCA_019335925.1	GCA_019335925.1	38.3762	1828873	37
g076_GCA_018374945_1	38.50	GCA_018374945.1	GCA_018374945.1	38.4965	3359577	83
g077_GCF_006439815_1	38.68	GCF_006439815.1	GCF_006439815.1	38.6756	1630094	69
g078_GCF_016506385_1	38.76	GCF_016506385.1	GCF_016506385.1	38.7606	3921681	37
g079_GCA_905193125_1	38.86	GCA_905193125.1	GCA_905193125.1	38.8623	2449785	54
g080_GCA_030500575_1	38.90	GCA_030500575.1	GCA_030500575.1	38.8968	4052437	4
g081_GCF_041477265_1	38.97	GCF_041477265.1	GCF_041477265.1	38.9667	4016569	69
g082_GCF_000582295_1	39.03	GCF_000582295.1	GCF_000582295.1	39.0277	3949700	54
g083_GCF_028402465_1	39.12	GCF_028402465.1	GCF_028402465.1	39.1191	4048359	162
g084_GCF_900035615_1	39.30	GCF_900035615.1	GCF_900035615.1	39.2960	2432302	801
g085_GCF_009721145_1	39.46	GCF_009721145.1	GCF_009721145.1	39.4554	2379412	887
g086_GCF_001201875_1	39.54	GCF_001201875.1	GCF_001201875.1	39.5398	2160666	101
g087_GCF_019457365_1	39.58	GCF_019457365.1	GCF_019457365.1	39.5824	2074392	54
g088_GCF_900063445_2	39.63	GCF_900063445.2	GCF_900063445.2	39.6272	2081970	28
g089_GCF_900188815_1	39.70	GCF_900188815.1	GCF_900188815.1	39.7040	2006382	57
g090_GCF_039562545_1	39.75	GCF_039562545.1	GCF_039562545.1	39.7469	2038665	37
g091_GCA_903843675_1	39.93	GCA_903843675.1	GCA_903843675.1	39.9323	1144086	264
g092_GCF_963976385_1	40.07	GCF_963976385.1	GCF_963976385.1	40.0661	3700404	64
g093_GCA_035328325_1	40.30	GCA_035328325.1	GCA_035328325.1	40.2965	2533681	359
g094_GCF_013012845_1	40.48	GCF_013012845.1	GCF_013012845.1	40.4802	2275427	29
g095_GCF_003434285_1	40.68	GCF_003434285.1	GCF_003434285.1	40.6836	3156369	15
g096_GCA_016235125_1	40.94	GCA_016235125.1	GCA_016235125.1	40.9441	3575020	9
g097_GCA_039802205_1	41.08	GCA_039802205.1	GCA_039802205.1	41.0790	2653883	95
g098_GCF_014305555_1	41.21	GCF_014305555.1	GCF_014305555.1	41.2066	3659119	58
g099_GCA_949380125_1	41.30	GCA_949380125.1	GCA_949380125.1	41.3003	1975189	221
g100_GCF_040141925_1	41.40	GCF_040141925.1	GCF_040141925.1	41.3959	4400828	105
g101_GCA_948604895_1	41.55	GCA_948604895.1	GCA_948604895.1	41.5495	2597427	345
g102_GCF_021076085_1	41.70	GCF_021076085.1	GCF_021076085.1	41.6965	2320699	8
g103_GCA_003463955_1	41.85	GCA_003463955.1	GCA_003463955.1	41.8526	6278096	160
g104_GCF_001435495_1	41.97	GCF_001435495.1	GCF_001435495.1	41.9683	1815830	250
g105_GCF_004355265_1	42.12	GCF_004355265.1	GCF_004355265.1	42.1240	2009598	1
g106_GCA_036152535_1	42.35	GCA_036152535.1	GCA_036152535.1	42.3525	2279763	349
g107_GCF_002865325_1	42.66	GCF_002865325.1	GCF_002865325.1	42.6577	3497293	126
g108_GCF_008329425_1	42.85	GCF_008329425.1	GCF_008329425.1	42.8493	6468556	68
g109_GCF_002285555_1	42.98	GCF_002285555.1	GCF_002285555.1	42.9782	3476598	10
g110_GCA_948772605_1	43.15	GCA_948772605.1	GCA_948772605.1	43.1451	2196870	26
g111_GCF_026966615_1	43.23	GCF_026966615.1	GCF_026966615.1	43.2279	5244945	187
g112_GCF_023571865_1	43.42	GCF_023571865.1	GCF_023571865.1	43.4153	4221676	15
g113_GCA_948952525_1	43.53	GCA_948952525.1	GCA_948952525.1	43.5316	6345635	232
g114_GCF_035809495_1	43.67	GCF_035809495.1	GCF_035809495.1	43.6709	4057167	19
g115_GCA_029573525_1	43.87	GCA_029573525.1	GCA_029573525.1	43.8667	3772907	317
g116_GCF_036672425_1	44.12	GCF_036672425.1	GCF_036672425.1	44.1231	3627843	114
g117_GCA_039962665_1	44.29	GCA_039962665.1	GCA_039962665.1	44.2909	3703467	10
g118_GCA_040266335_1	44.38	GCA_040266335.1	GCA_040266335.1	44.3829	1957664	134
g119_GCF_025245865_1	44.65	GCF_025245865.1	GCF_025245865.1	44.6461	3206930	4
g120_GCA_041842105_1	44.74	GCA_041842105.1	GCA_041842105.1	44.7412	1745523	320
g121_GCA_028719005_1	44.99	GCA_028719005.1	GCA_028719005.1	44.9886	1783850	159
g122_GCA_029060285_1	45.13	GCA_029060285.1	GCA_029060285.1	45.1337	3289599	224
g123_GCA_016777485_1	45.27	GCA_016777485.1	GCA_016777485.1	45.2700	1733112	54
g124_GCA_040219735_1	45.48	GCA_040219735.1	GCA_040219735.1	45.4824	7446811	204
g125_GCA_003519705_1	45.59	GCA_003519705.1	GCA_003519705.1	45.5860	1426583	220
g126_GCF_019271115_1	45.69	GCF_019271115.1	GCF_019271115.1	45.6892	5392094	2
g127_GCA_948886475_1	45.86	GCA_948886475.1	GCA_948886475.1	45.8624	3891900	277
g128_GCA_016927835_1	46.01	GCA_016927835.1	GCA_016927835.1	46.0122	7579817	452
g129_GCF_024999605_1	46.21	GCF_024999605.1	GCF_024999605.1	46.2119	5370743	78
g130_GCA_949461265_1	46.33	GCA_949461265.1	GCA_949461265.1	46.3255	3274003	141
g131_GCA_949413585_1	46.48	GCA_949413585.1	GCA_949413585.1	46.4792	3812206	235
g132_GCF_004214385_1	46.69	GCF_004214385.1	GCF_004214385.1	46.6893	4957444	99
g133_GCA_949011755_1	46.89	GCA_949011755.1	GCA_949011755.1	46.8856	2442641	62
g134_GCA_949002345_1	47.11	GCA_949002345.1	GCA_949002345.1	47.1054	2367381	233
g135_GCA_002314945_1	47.29	GCA_002314945.1	GCA_002314945.1	47.2894	2691285	103
g136_GCA_964017285_1	47.42	GCA_964017285.1	GCA_964017285.1	47.4213	3508934	168
g137_GCF_001257835_1	47.48	GCF_001257835.1	GCF_001257835.1	47.4843	4032637	48
g138_GCA_037412465_1	47.54	GCA_037412465.1	GCA_037412465.1	47.5401	2921932	117
g139_GCF_025370725_1	47.63	GCF_025370725.1	GCF_025370725.1	47.6254	7087135	94
g140_GCA_944390155_1	47.72	GCA_944390155.1	GCA_944390155.1	47.7238	2023380	55
g141_GCA_037424235_1	47.85	GCA_037424235.1	GCA_037424235.1	47.8478	1479947	71
g142_GCA_014804425_1	48.12	GCA_014804425.1	GCA_014804425.1	48.1247	3403615	27
g143_GCA_949502335_1	48.30	GCA_949502335.1	GCA_949502335.1	48.2994	1834340	87
g144_GCA_002005365_1	48.41	GCA_002005365.1	GCA_002005365.1	48.4123	2688496	1
g145_GCA_934320655_1	48.54	GCA_934320655.1	GCA_934320655.1	48.5395	2977144	33
g146_GCA_947425755_1	48.72	GCA_947425755.1	GCA_947425755.1	48.7243	2120438	68
g147_GCA_000437915_1	48.84	GCA_000437915.1	GCA_000437915.1	48.8432	1508874	24
g148_GCF_003044885_1	49.01	GCF_003044885.1	GCF_003044885.1	49.0144	2143813	20
g149_GCF_949069945_1	49.20	GCF_949069945.1	GCF_949069945.1	49.1969	2455203	118
g150_GCA_025543235_1	49.33	GCA_025543235.1	GCA_025543235.1	49.3310	2539067	216
g151_GCA_948865575_1	49.50	GCA_948865575.1	GCA_948865575.1	49.5039	1976272	22
g152_GCA_030727165_1	49.63	GCA_030727165.1	GCA_030727165.1	49.6339	3767799	155
g153_GCA_949283865_1	49.88	GCA_949283865.1	GCA_949283865.1	49.8826	1997514	234
g154_GCA_948893845_1	50.14	GCA_948893845.1	GCA_948893845.1	50.1377	2490921	54
g155_GCA_017419895_1	50.24	GCA_017419895.1	GCA_017419895.1	50.2418	1704375	303
g156_GCF_958433895_1	50.28	GCF_958433895.1	GCF_958433895.1	50.2817	1989608	65
g157_GCA_949280425_1	50.35	GCA_949280425.1	GCA_949280425.1	50.3474	4401130	226
g158_GCF_001742705_1	50.40	GCF_001742705.1	GCF_001742705.1	50.3964	5233118	225
g159_GCF_964019865_1	50.43	GCF_964019865.1	GCF_964019865.1	50.4278	5049448	7
g160_GCF_003981445_1	50.46	GCF_003981445.1	GCF_003981445.1	50.4606	4923344	306
g161_GCF_006536085_2	50.49	GCF_006536085.2	GCF_006536085.2	50.4853	4877468	1
g162_GCA_024547185_1	50.52	GCA_024547185.1	GCA_024547185.1	50.5220	5203686	15
g163_GCF_000171915_1	50.55	GCF_000171915.1	GCF_000171915.1	50.5507	5620606	186
g164_GCA_949064745_1	50.57	GCA_949064745.1	GCA_949064745.1	50.5659	2885032	77
g165_GCF_902505135_1	50.59	GCF_902505135.1	GCF_902505135.1	50.5922	5475724	5
g166_GCF_022546555_1	50.61	GCF_022546555.1	GCF_022546555.1	50.6094	5239485	150
g167_GCF_021568645_1	50.64	GCF_021568645.1	GCF_021568645.1	50.6404	5231769	128
g168_GCF_916160955_1	50.66	GCF_916160955.1	GCF_916160955.1	50.6557	5035893	185
g169_GCA_948960965_1	50.69	GCA_948960965.1	GCA_948960965.1	50.6934	2678854	221
g170_GCF_029088405_1	50.71	GCF_029088405.1	GCF_029088405.1	50.7147	4729913	197
g171_GCF_036502285_1	50.74	GCF_036502285.1	GCF_036502285.1	50.7418	5187052	4
g172_GCF_003175885_1	50.79	GCF_003175885.1	GCF_003175885.1	50.7863	4696669	353
g173_GCF_012063425_1	50.81	GCF_012063425.1	GCF_012063425.1	50.8122	4833299	100
g174_GCA_948563135_1	50.91	GCA_948563135.1	GCA_948563135.1	50.9110	2583945	69
g175_GCF_006350365_1	51.01	GCF_006350365.1	GCF_006350365.1	51.0065	4695681	478
g176_GCA_002308595_1	51.29	GCA_002308595.1	GCA_002308595.1	51.2896	1818744	68
g177_GCF_000327845_2	51.51	GCF_000327845.2	GCF_000327845.2	51.5085	2240249	32
g178_GCA_900553595_1	51.62	GCA_900553595.1	GCA_900553595.1	51.6221	1909705	67
g179_GCF_900030905_1	51.78	GCF_900030905.1	GCF_900030905.1	51.7831	2111624	76
g180_GCA_017442365_1	51.82	GCA_017442365.1	GCA_017442365.1	51.8209	1902049	21
g181_GCF_004331585_1	51.88	GCF_004331585.1	GCF_004331585.1	51.8792	5128900	54
g182_GCA_900314185_1	51.95	GCA_900314185.1	GCA_900314185.1	51.9472	2302892	282
g183_GCA_949481365_1	52.03	GCA_949481365.1	GCA_949481365.1	52.0287	3107163	67
g184_GCF_002591935_1	52.06	GCF_002591935.1	GCF_002591935.1	52.0577	1937976	93
g185_GCF_034650295_1	52.09	GCF_034650295.1	GCF_034650295.1	52.0881	4726695	23
g186_GCF_002038305_1	52.13	GCF_002038305.1	GCF_002038305.1	52.1297	4641637	29
g187_GCF_018915845_1	52.17	GCF_018915845.1	GCF_018915845.1	52.1659	4908929	74
g188_GCF_002206125_1	52.19	GCF_002206125.1	GCF_002206125.1	52.1908	4751306	38
g189_GCA_007133475_1	52.22	GCA_007133475.1	GCA_007133475.1	52.2162	2586653	199
g190_GCA_038114465_1	52.30	GCA_038114465.1	GCA_038114465.1	52.2973	3132536	35
g191_GCA_964003515_1	52.41	GCA_964003515.1	GCA_964003515.1	52.4108	3701533	282
g192_GCA_017424875_1	52.61	GCA_017424875.1	GCA_017424875.1	52.6088	1627016	115
g193_GCA_029060545_1	52.72	GCA_029060545.1	GCA_029060545.1	52.7182	2095576	109
g194_GCA_027485465_1	52.91	GCA_027485465.1	GCA_027485465.1	52.9054	1703749	164
g195_GCA_945865265_1	53.09	GCA_945865265.1	GCA_945865265.1	53.0860	1498785	240
g196_GCF_019720835_1	53.31	GCF_019720835.1	GCF_019720835.1	53.3125	4895690	3
g197_GCF_002933395_1	53.49	GCF_002933395.1	GCF_002933395.1	53.4945	3676833	15
g198_GCA_949522585_1	53.64	GCA_949522585.1	GCA_949522585.1	53.6427	2844086	61
g199_GCA_039679965_1	53.91	GCA_039679965.1	GCA_039679965.1	53.9129	2312683	401
g200_GCF_029835265_1	54.22	GCF_029835265.1	GCF_029835265.1	54.2223	5527607	186
g201_GCA_963625655_1	54.58	GCA_963625655.1	GCA_963625655.1	54.5830	1618268	49
g202_GCA_903844385_1	54.69	GCA_903844385.1	GCA_903844385.1	54.6873	2827380	130
g203_GCA_002363755_1	54.77	GCA_002363755.1	GCA_002363755.1	54.7701	3179075	162
g204_GCA_948774725_1	54.96	GCA_948774725.1	GCA_948774725.1	54.9589	2175029	183
g205_GCF_948789665_1	55.11	GCF_948789665.1	GCF_948789665.1	55.1062	2121953	128
g206_GCA_949422695_1	55.16	GCA_949422695.1	GCA_949422695.1	55.1625	2220929	63
g207_GCA_948565955_1	55.39	GCA_948565955.1	GCA_948565955.1	55.3880	1811886	137
g208_GCA_948603135_1	55.47	GCA_948603135.1	GCA_948603135.1	55.4690	1527217	30
g209_GCA_039817185_1	55.72	GCA_039817185.1	GCA_039817185.1	55.7156	5565852	152
g210_GCA_038405435_1	55.91	GCA_038405435.1	GCA_038405435.1	55.9137	4960135	262
g211_GCA_029007495_1	56.10	GCA_029007495.1	GCA_029007495.1	56.0990	2191128	242
g212_GCA_017396245_1	56.28	GCA_017396245.1	GCA_017396245.1	56.2751	2571471	67
g213_GCF_027668885_1	56.41	GCF_027668885.1	GCF_027668885.1	56.4066	3058985	32
g214_GCF_030715355_1	56.63	GCF_030715355.1	GCF_030715355.1	56.6262	6033808	102
g215_GCF_026586505_1	56.71	GCF_026586505.1	GCF_026586505.1	56.7093	5783807	5
g216_GCA_947648575_1	56.83	GCA_947648575.1	GCA_947648575.1	56.8278	2741186	118
g217_GCF_024158065_1	56.93	GCF_024158065.1	GCF_024158065.1	56.9270	3580175	153
g218_GCF_964207545_1	56.98	GCF_964207545.1	GCF_964207545.1	56.9785	5530155	133
g219_GCA_949492765_1	57.04	GCA_949492765.1	GCA_949492765.1	57.0361	2233579	433
g220_GCF_036997805_1	57.07	GCF_036997805.1	GCF_036997805.1	57.0744	5745213	193
g221_GCF_038443225_1	57.12	GCF_038443225.1	GCF_038443225.1	57.1157	5579572	107
g222_GCF_009877425_1	57.15	GCF_009877425.1	GCF_009877425.1	57.1513	3813851	71
g223_GCF_019334825_1	57.21	GCF_019334825.1	GCF_019334825.1	57.2073	5782811	5
g224_GCA_947454055_1	57.24	GCA_947454055.1	GCA_947454055.1	57.2417	2671137	64
g225_GCF_038433245_1	57.28	GCF_038433245.1	GCF_038433245.1	57.2754	5567630	109
g226_GCA_963707455_1	57.32	GCA_963707455.1	GCA_963707455.1	57.3183	5682312	2
g227_GCF_033949455_1	57.38	GCF_033949455.1	GCF_033949455.1	57.3846	5281767	4
g228_GCF_001541345_2	57.55	GCF_001541345.2	GCF_001541345.2	57.5475	5754491	22
g229_GCA_946529105_1	57.73	GCA_946529105.1	GCA_946529105.1	57.7319	2095116	52
g230_GCA_945897475_1	57.91	GCA_945897475.1	GCA_945897475.1	57.9084	4605277	296
g231_GCA_002371755_1	58.07	GCA_002371755.1	GCA_002371755.1	58.0659	2427939	181
g232_GCF_032058725_1	58.15	GCF_032058725.1	GCF_032058725.1	58.1453	4818561	35
g233_GCF_934880395_1	58.38	GCF_934880395.1	GCF_934880395.1	58.3764	2433280	76
g234_GCA_040263415_1	58.55	GCA_040263415.1	GCA_040263415.1	58.5540	4093605	271
g235_GCA_934533125_1	58.86	GCA_934533125.1	GCA_934533125.1	58.8579	2349221	140
g236_GCA_003164675_1	59.09	GCA_003164675.1	GCA_003164675.1	59.0941	3601913	125
g237_GCF_900586345_1	59.22	GCF_900586345.1	GCF_900586345.1	59.2202	6061018	55
g238_GCF_900599635_1	59.31	GCF_900599635.1	GCF_900599635.1	59.3118	5973789	49
g239_GCF_022760295_1	59.40	GCF_022760295.1	GCF_022760295.1	59.4005	5586294	4
g240_GCA_036808565_1	59.59	GCA_036808565.1	GCA_036808565.1	59.5920	1881889	124
g241_GCF_003856815_1	59.73	GCF_003856815.1	GCF_003856815.1	59.7262	2332121	1
g242_GCA_022769445_1	59.89	GCA_022769445.1	GCA_022769445.1	59.8891	2184897	146
g243_GCA_007130865_1	60.06	GCA_007130865.1	GCA_007130865.1	60.0590	3728401	303
g244_GCF_928381475_1	60.13	GCF_928381475.1	GCF_928381475.1	60.1297	2442037	52
g245_GCA_947054095_1	60.24	GCA_947054095.1	GCA_947054095.1	60.2403	1448517	211
g246_GCA_039936335_1	60.41	GCA_039936335.1	GCA_039936335.1	60.4054	2627535	242
g247_GCA_028067235_1	60.74	GCA_028067235.1	GCA_028067235.1	60.7401	1981994	288
g248_GCA_900580675_1	60.92	GCA_900580675.1	GCA_900580675.1	60.9203	6060443	255
g249_GCA_035488895_1	61.08	GCA_035488895.1	GCA_035488895.1	61.0773	4393800	262
g250_GCF_017167065_1	61.24	GCF_017167065.1	GCF_017167065.1	61.2424	5220561	51
g251_GCF_017873105_1	61.45	GCF_017873105.1	GCF_017873105.1	61.4534	7089096	51
g252_GCA_023460005_1	61.79	GCA_023460005.1	GCA_023460005.1	61.7902	3106326	353
g253_GCF_034045355_1	62.22	GCF_034045355.1	GCF_034045355.1	62.2155	4724547	12
g254_GCA_019313325_1	62.54	GCA_019313325.1	GCA_019313325.1	62.5369	3410111	471
g255_GCF_013366925_1	62.79	GCF_013366925.1	GCF_013366925.1	62.7858	9492390	4
g256_GCF_001807485_1	62.95	GCF_001807485.1	GCF_001807485.1	62.9486	2215784	31
g257_GCA_949026145_1	63.22	GCA_949026145.1	GCA_949026145.1	63.2215	2158016	11
g258_GCA_020217075_1	63.40	GCA_020217075.1	GCA_020217075.1	63.4049	2286530	213
g259_GCA_018829305_1	63.55	GCA_018829305.1	GCA_018829305.1	63.5511	3911551	178
g260_GCF_020194195_1	63.77	GCF_020194195.1	GCF_020194195.1	63.7735	8277742	270
g261_GCA_028710795_1	63.89	GCA_028710795.1	GCA_028710795.1	63.8854	3056632	430
g262_GCA_905373555_1	64.07	GCA_905373555.1	GCA_905373555.1	64.0691	1361481	248
g263_GCA_031975555_1	64.15	GCA_031975555.1	GCA_031975555.1	64.1540	4362302	241
g264_GCA_027401555_1	64.44	GCA_027401555.1	GCA_027401555.1	64.4361	3035627	197
g265_GCF_015840915_1	64.64	GCF_015840915.1	GCF_015840915.1	64.6371	3854122	1
g266_GCA_023622805_1	64.87	GCA_023622805.1	GCA_023622805.1	64.8701	4614419	776
g267_GCA_030856025_1	65.17	GCA_030856025.1	GCA_030856025.1	65.1658	3392592	189
g268_GCA_934644985_1	65.38	GCA_934644985.1	GCA_934644985.1	65.3830	2195916	59
g269_GCF_008762295_1	65.50	GCF_008762295.1	GCF_008762295.1	65.4963	4348268	181
g270_GCF_000663285_1	65.58	GCF_000663285.1	GCF_000663285.1	65.5841	4423638	8
g271_GCF_000656915_1	65.61	GCF_000656915.1	GCF_000656915.1	65.6138	4419089	54
g272_GCA_019117265_1	65.77	GCA_019117265.1	GCA_019117265.1	65.7694	2262032	209
g273_GCF_001060435_1	65.86	GCF_001060435.1	GCF_001060435.1	65.8596	6944275	825
g274_GCF_007896855_1	65.98	GCF_007896855.1	GCF_007896855.1	65.9792	6955100	54
g275_GCA_027407815_1	66.05	GCA_027407815.1	GCA_027407815.1	66.0548	2858321	253
g276_GCF_024498955_1	66.17	GCF_024498955.1	GCF_024498955.1	66.1676	2717354	1
g277_GCA_032015535_1	66.29	GCA_032015535.1	GCA_032015535.1	66.2916	4091815	690
g278_GCF_040676555_1	66.35	GCF_040676555.1	GCF_040676555.1	66.3468	5145317	79
g279_GCF_041360765_1	66.41	GCF_041360765.1	GCF_041360765.1	66.4061	5973677	25
g280_GCA_029863525_1	66.47	GCA_029863525.1	GCA_029863525.1	66.4685	3621428	221
g281_GCF_036862555_1	66.55	GCF_036862555.1	GCF_036862555.1	66.5526	7436265	57
g282_GCF_025244705_1	66.71	GCF_025244705.1	GCF_025244705.1	66.7089	3796965	1
g283_GCA_003515245_1	66.90	GCA_003515245.1	GCA_003515245.1	66.8976	5807463	2
g284_GCA_040946965_1	67.05	GCA_040946965.1	GCA_040946965.1	67.0488	3165918	419
g285_GCF_031081925_1	67.16	GCF_031081925.1	GCF_031081925.1	67.1641	6066397	281
g286_GCA_040376155_1	67.28	GCA_040376155.1	GCA_040376155.1	67.2833	4107863	492
g287_GCA_023250255_1	67.47	GCA_023250255.1	GCA_023250255.1	67.4725	1281616	252
