scope	id	mode	n_landmarks	build_wall_s	peak_rss_kb	disk_bytes	bytes_per_landmark	reads	target
genome	g039_GCF_014181205_1	enzyme_k16	17266	2	8624	663673	38.4		
genome	g039_GCF_014181205_1	enzyme_k8	14292	1	7824	550661	38.5		
genome	g040_GCF_001971525_1	enzyme_k16	16885	2	8844	655923	38.8		
genome	g040_GCF_001971525_1	enzyme_k8	13989	1	7600	545875	39.0		
genome	g041_GCF_900083065_1	enzyme_k16	17244	2	9212	662959	38.4		
genome	g041_GCF_900083065_1	enzyme_k8	14267	1	7552	549833	38.5		
genome	g042_GCF_900082305_1	enzyme_k16	17586	2	9624	678936	38.6		
genome	g042_GCF_900082305_1	enzyme_k8	14548	1	8296	563492	38.7		
genome	g043_GCF_006364675_1	enzyme_k16	17277	2	10424	661534	38.3		
genome	g043_GCF_006364675_1	enzyme_k8	14290	1	8676	548028	38.4		
genome	g044_GCF_900458235_1	enzyme_k16	18064	2	10376	691287	38.3		
genome	g044_GCF_900458235_1	enzyme_k8	14897	1	9020	570941	38.3		
genome	g045_GCA_002792115_1	enzyme_k16	9081	1	6532	358867	39.5		
genome	g045_GCA_002792115_1	enzyme_k8	7177	0	6464	286515	39.9		
genome	g046_GCA_002254285_1	enzyme_k16	14121	1	10388	572300	40.5		
genome	g046_GCA_002254285_1	enzyme_k8	11497	0	7820	472588	41.1		
genome	g047_GCA_029240435_1	enzyme_k16	23157	2	10632	951622	41.1		
genome	g047_GCA_029240435_1	enzyme_k8	19283	1	10404	804410	41.7		
genome	g048_GCA_002504695_1	enzyme_k16	13989	1	7400	555169	39.7		
genome	g048_GCA_002504695_1	enzyme_k8	11677	0	7408	467313	40.0		
genome	g049_GCA_949024825_1	enzyme_k16	8955	1	6956	358770	40.1		
genome	g049_GCA_949024825_1	enzyme_k8	6957	0	6104	282846	40.7		
genome	g050_GCF_925281505_1	enzyme_k16	18934	2	9064	725871	38.3		
genome	g050_GCF_925281505_1	enzyme_k8	14887	1	8216	572085	38.4		
genome	g051_GCA_964030905_1	enzyme_k16	9447	1	6440	363667	38.5		
genome	g051_GCA_964030905_1	enzyme_k8	7785	0	5856	300511	38.6		
genome	g052_GCA_947444095_1	enzyme_k16	14066	2	10484	572028	40.7		
genome	g052_GCA_947444095_1	enzyme_k8	11164	0	9876	461752	41.4		
genome	g053_GCA_902642205_1	enzyme_k16	7846	1	6480	325243	41.5		
genome	g053_GCA_902642205_1	enzyme_k8	6465	0	7640	272765	42.2		
genome	g054_GCF_029536375_1	enzyme_k16	38648	5	15344	1492243	38.6		
genome	g054_GCF_029536375_1	enzyme_k8	29863	2	13720	1158413	38.8		
genome	g055_GCA_963976755_1	enzyme_k16	19734	2	9828	841051	42.6		
genome	g055_GCA_963976755_1	enzyme_k8	14697	1	8784	649645	44.2		
genome	g056_GCA_964022085_1	enzyme_k16	15186	2	9984	593408	39.1		
genome	g056_GCA_964022085_1	enzyme_k8	12279	0	7724	482942	39.3		
genome	g057_GCA_948664835_1	enzyme_k16	7613	0	6548	299618	39.4		
genome	g057_GCA_948664835_1	enzyme_k8	6043	0	5524	239958	39.7		
genome	g058_GCF_000322625_1	enzyme_k16	17310	1	8960	673758	38.9		
genome	g058_GCF_000322625_1	enzyme_k8	13543	0	7520	530612	39.2		
genome	g059_GCA_949290325_1	enzyme_k16	11039	1	6636	432468	39.2		
genome	g059_GCA_949290325_1	enzyme_k8	8733	0	6620	344839	39.5		
genome	g060_GCF_039566805_1	enzyme_k16	15585	2	9700	618552	39.7		
genome	g060_GCF_039566805_1	enzyme_k8	12564	0	7652	503754	40.1		
genome	g061_GCF_027153465_1	enzyme_k16	16584	1	8868	670021	40.4		
genome	g061_GCF_027153465_1	enzyme_k8	13365	0	7260	547699	41.0		
genome	g062_GCF_013778545_1	enzyme_k16	17838	2	8972	691984	38.8		
genome	g062_GCF_013778545_1	enzyme_k8	14424	1	9252	562252	39.0		
genome	g063_GCF_004126365_1	enzyme_k16	23575	2	9988	906824	38.5		
genome	g063_GCF_004126365_1	enzyme_k8	18771	1	9520	724272	38.6		
genome	g064_GCF_038899595_1	enzyme_k16	23070	3	9900	902820	39.1		
genome	g064_GCF_038899595_1	enzyme_k8	18382	1	9464	724676	39.4		
genome	g065_GCA_018698955_1	enzyme_k16	19656	2	10180	824004	41.9		
genome	g065_GCA_018698955_1	enzyme_k8	16117	1	9304	689522	42.8		
genome	g066_GCA_963517675_1	enzyme_k16	21930	2	9460	840362	38.3		
genome	g066_GCA_963517675_1	enzyme_k8	17456	1	9172	670350	38.4		
genome	g067_GCA_025268635_1	enzyme_k16	10299	1	6584	396363	38.5		
genome	g067_GCA_025268635_1	enzyme_k8	8465	0	6264	326670	38.6		
genome	g068_GCF_002902125_1	enzyme_k16	19110	2	9252	771371	40.4		
genome	g068_GCF_002902125_1	enzyme_k8	15534	1	8592	635483	40.9		
genome	g069_GCF_008633485_1	enzyme_k16	15239	2	8348	584765	38.4		
genome	g069_GCF_008633485_1	enzyme_k8	12203	0	6952	469397	38.5		
genome	g070_GCF_000729285_1	enzyme_k16	22358	2	9632	856769	38.3		
genome	g070_GCF_000729285_1	enzyme_k8	17724	1	11448	680677	38.4		
genome	g071_GCF_029831825_1	enzyme_k16	22440	3	10276	858259	38.2		
genome	g071_GCF_029831825_1	enzyme_k8	17793	1	9296	681673	38.3		
genome	g072_GCF_041755645_1	enzyme_k16	22203	3	10916	848399	38.2		
genome	g072_GCF_041755645_1	enzyme_k8	17574	1	10428	672497	38.3		
genome	g073_GCA_950075365_1	enzyme_k16	16125	1	10000	657573	40.8		
genome	g073_GCA_950075365_1	enzyme_k8	12936	0	7844	536391	41.5		
genome	g074_GCF_039666775_1	enzyme_k16	16200	1	8600	624337	38.5		
genome	g074_GCF_039666775_1	enzyme_k8	12802	0	6656	495213	38.7		
genome	g075_GCA_019335925_1	enzyme_k16	16117	1	8568	623109	38.7		
genome	g075_GCA_019335925_1	enzyme_k8	12693	0	6736	492997	38.8		
genome	g076_GCA_018374945_1	enzyme_k16	28187	3	11796	1089436	38.7		
genome	g076_GCA_018374945_1	enzyme_k8	22133	1	10216	859384	38.8		
genome	g077_GCF_006439815_1	enzyme_k16	8204	1	6272	327723	39.9		
genome	g077_GCF_006439815_1	enzyme_k8	6263	0	5772	253965	40.6		
genome	g078_GCF_016506385_1	enzyme_k16	29093	3	17740	1116325	38.4		
genome	g078_GCF_016506385_1	enzyme_k8	23758	1	10968	913595	38.5		
genome	g079_GCA_905193125_1	enzyme_k16	21377	2	9792	825840	38.6		
genome	g079_GCA_905193125_1	enzyme_k8	17801	1	9244	689952	38.8		
genome	g080_GCA_030500575_1	enzyme_k16	30963	3	14348	1181780	38.2		
genome	g080_GCA_030500575_1	enzyme_k8	25307	1	12556	966852	38.2		
genome	g081_GCF_041477265_1	enzyme_k16	29539	3	13748	1138677	38.5		
genome	g081_GCF_041477265_1	enzyme_k8	24595	1	10456	950805	38.7		
genome	g082_GCF_000582295_1	enzyme_k16	29338	3	13708	1128366	38.5		
genome	g082_GCF_000582295_1	enzyme_k8	23839	1	10868	919404	38.6		
genome	g083_GCF_028402465_1	enzyme_k16	29738	3	13996	1161395	39.1		
genome	g083_GCF_028402465_1	enzyme_k8	24265	1	11160	953421	39.3		
genome	g084_GCF_900035615_1	enzyme_k16	21475	2	9384	953529	44.4		
genome	g084_GCF_900035615_1	enzyme_k8	16979	0	9176	782681	46.1		
genome	g085_GCF_009721145_1	enzyme_k16	21186	2	9492	956702	45.2		
genome	g085_GCF_009721145_1	enzyme_k8	16759	0	8960	788476	47.0		
genome	g086_GCF_001201875_1	enzyme_k16	20854	15	9580	813764	39.0		
genome	g086_GCF_001201875_1	enzyme_k8	16457	0	8744	646678	39.3		
genome	g087_GCF_019457365_1	enzyme_k16	20325	1	9556	786011	38.7		
genome	g087_GCF_019457365_1	enzyme_k8	16048	0	8944	623485	38.9		
genome	g088_GCF_900063445_2	enzyme_k16	20308	2	9072	780885	38.5		
genome	g088_GCF_900063445_2	enzyme_k8	15976	0	8340	616269	38.6		
genome	g089_GCF_900188815_1	enzyme_k16	19775	1	9524	765418	38.7		
genome	g089_GCF_900188815_1	enzyme_k8	15635	0	9232	608098	38.9		
genome	g090_GCF_039562545_1	enzyme_k16	20053	1	13192	772809	38.5		
genome	g090_GCF_039562545_1	enzyme_k8	15840	0	10784	612715	38.7		
genome	g091_GCA_903843675_1	enzyme_k16	9286	1	6120	401130	43.2		
genome	g091_GCA_903843675_1	enzyme_k8	7629	0	5720	338164	44.3		
genome	g092_GCF_963976385_1	enzyme_k16	22255	3	12676	861080	38.7		
genome	g092_GCF_963976385_1	enzyme_k8	18353	1	10332	712804	38.8		
genome	g093_GCA_035328325_1	enzyme_k16	14056	13	10076	598514	42.6		
genome	g093_GCA_035328325_1	enzyme_k8	11491	1	8372	501044	43.6		
genome	g094_GCF_013012845_1	enzyme_k16	18419	2	10860	709252	38.5		
genome	g094_GCF_013012845_1	enzyme_k8	15068	1	8368	581914	38.6		
genome	g095_GCF_003434285_1	enzyme_k16	31415	3	14176	1200788	38.2		
genome	g095_GCF_003434285_1	enzyme_k8	25844	1	10640	989090	38.3		
genome	g096_GCA_016235125_1	enzyme_k16	26724	3	10948	1021531	38.2		
genome	g096_GCA_016235125_1	enzyme_k8	21588	1	9880	826363	38.3		
genome	g097_GCA_039802205_1	enzyme_k16	24885	12	10428	965979	38.8		
genome	g097_GCA_039802205_1	enzyme_k8	20057	1	9600	782515	39.0		
genome	g098_GCF_014305555_1	enzyme_k16	34407	3	16788	1321780	38.4		
genome	g098_GCF_014305555_1	enzyme_k8	27686	1	11044	1066382	38.5		
genome	g099_GCA_949380125_1	enzyme_k16	18122	1	9208	729977	40.3		
genome	g099_GCA_949380125_1	enzyme_k8	14676	0	11584	599029	40.8		
genome	g100_GCF_040141925_1	enzyme_k16	33583	12	14676	1298409	38.7		
genome	g100_GCF_040141925_1	enzyme_k8	28958	1	13604	1122659	38.8		
genome	g101_GCA_948604895_1	enzyme_k16	21280	2	9964	870690	40.9		
genome	g101_GCA_948604895_1	enzyme_k8	16515	1	9568	689620	41.8		
genome	g102_GCF_021076085_1	enzyme_k16	21866	2	10312	836779	38.3		
genome	g102_GCF_021076085_1	enzyme_k8	17378	1	9044	666235	38.3		
genome	g103_GCA_003463955_1	enzyme_k16	56541	5	18756	2179243	38.5		
genome	g103_GCA_003463955_1	enzyme_k8	44405	2	16360	1718075	38.7		
genome	g104_GCF_001435495_1	enzyme_k16	16853	8	10728	686385	40.7		
genome	g104_GCF_001435495_1	enzyme_k8	13377	0	6944	554297	41.4		
genome	g105_GCF_004355265_1	enzyme_k16	17966	1	9316	687393	38.3		
genome	g105_GCF_004355265_1	enzyme_k8	13775	0	7928	528135	38.3		
genome	g106_GCA_036152535_1	enzyme_k16	22046	2	9704	900328	40.8		
genome	g106_GCA_036152535_1	enzyme_k8	17567	1	9368	730126	41.6		
genome	g107_GCF_002865325_1	enzyme_k16	36412	4	15016	1409108	38.7		
genome	g107_GCF_002865325_1	enzyme_k8	29615	1	13620	1150822	38.9		
genome	g108_GCF_008329425_1	enzyme_k16	60989	5	25364	2333380	38.3		
genome	g108_GCF_008329425_1	enzyme_k8	47987	2	17200	1839304	38.3		
genome	g109_GCF_002285555_1	enzyme_k16	32516	3	14308	1241789	38.2		
genome	g109_GCF_002285555_1	enzyme_k8	27807	1	11584	1062847	38.2		
genome	g110_GCA_948772605_1	enzyme_k16	14260	1	7276	550729	38.6		
genome	g110_GCA_948772605_1	enzyme_k8	10047	0	6700	390635	38.9		
genome	g111_GCF_026966615_1	enzyme_k16	50328	4	17668	1948610	38.7		
genome	g111_GCF_026966615_1	enzyme_k8	39053	2	15328	1520160	38.9		
genome	g112_GCF_023571865_1	enzyme_k16	35105	3	14816	1341053	38.2		
genome	g112_GCF_023571865_1	enzyme_k8	27599	1	11652	1055825	38.3		
genome	g113_GCA_948952525_1	enzyme_k16	57723	5	24692	2236772	38.8		
genome	g113_GCA_948952525_1	enzyme_k8	45151	2	16684	1759036	39.0		
genome	g114_GCF_035809495_1	enzyme_k16	33947	4	14512	1297720	38.2		
genome	g114_GCF_035809495_1	enzyme_k8	26713	1	13520	1022828	38.3		
genome	g115_GCA_029573525_1	enzyme_k16	28302	3	13532	1132845	40.0		
genome	g115_GCA_029573525_1	enzyme_k8	23739	1	11316	959451	40.4		
genome	g116_GCF_036672425_1	enzyme_k16	36108	3	14896	1395835	38.7		
genome	g116_GCF_036672425_1	enzyme_k8	30719	1	14120	1191053	38.8		
genome	g117_GCA_039962665_1	enzyme_k16	35981	3	15116	1373468	38.2		
genome	g117_GCA_039962665_1	enzyme_k8	30719	1	14004	1173512	38.2		
genome	g118_GCA_040266335_1	enzyme_k16	21199	1	9752	832371	39.3		
genome	g118_GCA_040266335_1	enzyme_k8	17193	0	8892	680143	39.6		
genome	g119_GCF_025245865_1	enzyme_k16	34155	2	16664	1303088	38.2		
genome	g119_GCF_025245865_1	enzyme_k8	27322	1	14040	1043434	38.2		
genome	g120_GCA_041842105_1	enzyme_k16	15683	5	8496	653649	41.7		
genome	g120_GCA_041842105_1	enzyme_k8	11864	0	6772	508527	42.9		
genome	g121_GCA_028719005_1	enzyme_k16	15023	1	9652	601858	40.1		
genome	g121_GCA_028719005_1	enzyme_k8	11367	0	7436	462930	40.7		
genome	g122_GCA_029060285_1	enzyme_k16	35262	2	14756	1381800	39.2		
genome	g122_GCA_029060285_1	enzyme_k8	28522	1	11016	1125680	39.5		
genome	g123_GCA_016777485_1	enzyme_k16	16077	1	8816	624418	38.8		
genome	g123_GCA_016777485_1	enzyme_k8	12373	0	9000	483666	39.1		
genome	g124_GCA_040219735_1	enzyme_k16	78257	9	28344	3012396	38.5		
genome	g124_GCA_040219735_1	enzyme_k8	61604	3	25296	2379582	38.6		
genome	g125_GCA_003519705_1	enzyme_k16	12144	1	6616	501830	41.3		
genome	g125_GCA_003519705_1	enzyme_k8	9345	0	6336	395467	42.3		
genome	g126_GCF_019271115_1	enzyme_k16	46654	4	19752	1777701	38.1		
genome	g126_GCF_019271115_1	enzyme_k8	39081	2	17724	1489927	38.1		
genome	g127_GCA_948886475_1	enzyme_k16	37898	5	15248	1490909	39.3		
genome	g127_GCA_948886475_1	enzyme_k8	29478	1	15792	1170949	39.7		
genome	g128_GCA_016927835_1	enzyme_k16	70363	6	27224	2753869	39.1		
genome	g128_GCA_016927835_1	enzyme_k8	57822	3	26040	2277311	39.4		
genome	g129_GCF_024999605_1	enzyme_k16	48221	4	17148	1850132	38.4		
genome	g129_GCF_024999605_1	enzyme_k8	40197	2	15836	1545220	38.4		
genome	g130_GCA_949461265_1	enzyme_k16	27564	2	10884	1075475	39.0		
genome	g130_GCA_949461265_1	enzyme_k8	21325	1	10736	838393	39.3		
genome	g131_GCA_949413585_1	enzyme_k16	34626	4	14896	1359547	39.3		
genome	g131_GCA_949413585_1	enzyme_k8	26986	1	11504	1069227	39.6		
genome	g132_GCF_004214385_1	enzyme_k16	49317	4	17392	1895016	38.4		
genome	g132_GCF_004214385_1	enzyme_k8	41413	2	15964	1594664	38.5		
genome	g133_GCA_949011755_1	enzyme_k16	27221	2	10816	1049245	38.5		
genome	g133_GCA_949011755_1	enzyme_k8	20669	1	9492	800269	38.7		
genome	g134_GCA_949002345_1	enzyme_k16	19462	2	9424	782862	40.2		
genome	g134_GCA_949002345_1	enzyme_k8	15917	1	10448	648152	40.7		
genome	g135_GCA_002314945_1	enzyme_k16	33617	2	14624	1298790	38.6		
genome	g135_GCA_002314945_1	enzyme_k8	26707	1	11532	1036210	38.8		
genome	g136_GCA_964017285_1	enzyme_k16	37271	3	14948	1448859	38.9		
genome	g136_GCA_964017285_1	enzyme_k8	29091	1	17196	1138019	39.1		
genome	g137_GCF_001257835_1	enzyme_k16	39927	3	15728	1529731	38.3		
genome	g137_GCF_001257835_1	enzyme_k8	33795	1	14676	1296715	38.4		
genome	g138_GCA_037412465_1	enzyme_k16	27642	2	11740	1074415	38.9		
genome	g138_GCA_037412465_1	enzyme_k8	23006	1	10068	898247	39.0		
genome	g139_GCF_025370725_1	enzyme_k16	81346	6	29096	3111596	38.3		
genome	g139_GCF_025370725_1	enzyme_k8	59620	3	25068	2286008	38.3		
genome	g140_GCA_944390155_1	enzyme_k16	19831	1	9488	767258	38.7		
genome	g140_GCA_944390155_1	enzyme_k8	15703	0	9600	610394	38.9		
genome	g141_GCA_037424235_1	enzyme_k16	11368	1	6724	448264	39.4		
genome	g141_GCA_037424235_1	enzyme_k8	8244	0	6024	329551	40.0		
genome	g142_GCA_014804425_1	enzyme_k16	31462	3	14060	1204579	38.3		
genome	g142_GCA_014804425_1	enzyme_k8	24267	1	10224	931169	38.4		
genome	g143_GCA_949502335_1	enzyme_k16	19830	2	9348	772533	39.0		
genome	g143_GCA_949502335_1	enzyme_k8	16143	0	9696	632427	39.2		
genome	g144_GCA_002005365_1	enzyme_k16	22326	2	10680	853070	38.2		
genome	g144_GCA_002005365_1	enzyme_k8	18666	1	10200	713990	38.3		
genome	g145_GCA_934320655_1	enzyme_k16	30977	2	14116	1187155	38.3		
genome	g145_GCA_934320655_1	enzyme_k8	25811	1	10164	990847	38.4		
genome	g146_GCA_947425755_1	enzyme_k16	22087	2	9892	855144	38.7		
genome	g146_GCA_947425755_1	enzyme_k8	17611	1	8780	685056	38.9		
genome	g147_GCA_000437915_1	enzyme_k16	12010	1	6516	464699	38.7		
genome	g147_GCA_000437915_1	enzyme_k8	8345	0	5952	325428	39.0		
genome	g148_GCF_003044885_1	enzyme_k16	14664	2	8092	565071	38.5		
genome	g148_GCF_003044885_1	enzyme_k8	12565	1	6968	485309	38.6		
genome	g149_GCF_949069945_1	enzyme_k16	29712	4	13780	1153582	38.8		
genome	g149_GCF_949069945_1	enzyme_k8	24078	1	10180	939490	39.0		
genome	g150_GCA_025543235_1	enzyme_k16	25716	3	10308	1017718	39.6		
genome	g150_GCA_025543235_1	enzyme_k8	20532	1	9512	820726	40.0		
genome	g151_GCA_948865575_1	enzyme_k16	22101	3	9408	848012	38.4		
genome	g151_GCA_948865575_1	enzyme_k8	18409	0	8952	707716	38.4		
genome	g152_GCA_030727165_1	enzyme_k16	39524	3	15576	1532247	38.8		
genome	g152_GCA_030727165_1	enzyme_k8	31421	1	14092	1224333	39.0		
genome	g153_GCA_949283865_1	enzyme_k16	21374	2	9796	855712	40.0		
genome	g153_GCA_949283865_1	enzyme_k8	15782	0	9740	643216	40.8		
genome	g154_GCA_948893845_1	enzyme_k16	29190	2	13720	1122734	38.5		
genome	g154_GCA_948893845_1	enzyme_k8	24560	1	10140	946794	38.6		
genome	g155_GCA_017419895_1	enzyme_k16	18092	2	8664	742349	41.0		
genome	g155_GCA_017419895_1	enzyme_k8	13693	0	9196	575187	42.0		
genome	g156_GCF_958433895_1	enzyme_k16	20470	2	9572	793397	38.8		
genome	g156_GCF_958433895_1	enzyme_k8	14745	0	9700	575847	39.1		
genome	g157_GCA_949280425_1	enzyme_k16	49322	4	17516	1916512	38.9		
genome	g157_GCA_949280425_1	enzyme_k8	38408	2	15328	1501780	39.1		
genome	g158_GCF_001742705_1	enzyme_k16	48946	5	17472	1901925	38.9		
genome	g158_GCF_001742705_1	enzyme_k8	41577	2	15876	1621903	39.0		
genome	g159_GCF_964019865_1	enzyme_k16	47507	4	18480	1810970	38.1		
genome	g159_GCF_964019865_1	enzyme_k8	40331	2	17620	1538282	38.1		
genome	g160_GCF_003981445_1	enzyme_k16	45895	4	16888	1799538	39.2		
genome	g160_GCF_003981445_1	enzyme_k8	38954	2	15612	1535780	39.4		
genome	g161_GCF_006536085_2	enzyme_k16	45805	4	18200	1745275	38.1		
genome	g161_GCF_006536085_2	enzyme_k8	38937	2	17660	1484291	38.1		
genome	g162_GCA_024547185_1	enzyme_k16	48630	5	19492	1854925	38.1		
genome	g162_GCA_024547185_1	enzyme_k8	41295	2	19100	1576195	38.2		
genome	g163_GCF_000171915_1	enzyme_k16	52799	4	17864	2041672	38.7		
genome	g163_GCF_000171915_1	enzyme_k8	44565	2	16344	1728780	38.8		
genome	g164_GCA_949064745_1	enzyme_k16	31756	2	14316	1224077	38.5		
genome	g164_GCA_949064745_1	enzyme_k8	25286	1	10260	978217	38.7		
genome	g165_GCF_902505135_1	enzyme_k16	51575	4	19944	1965218	38.1		
genome	g165_GCF_902505135_1	enzyme_k8	43495	2	18228	1658178	38.1		
genome	g166_GCF_022546555_1	enzyme_k16	49038	4	17332	1892967	38.6		
genome	g166_GCF_022546555_1	enzyme_k8	41461	2	16004	1605041	38.7		
genome	g167_GCF_021568645_1	enzyme_k16	49201	4	19364	1895804	38.5		
genome	g167_GCF_021568645_1	enzyme_k8	41702	2	15884	1610842	38.6		
genome	g168_GCF_916160955_1	enzyme_k16	47151	5	17000	1827588	38.8		
genome	g168_GCF_916160955_1	enzyme_k8	40023	2	15788	1556724	38.9		
genome	g169_GCA_948960965_1	enzyme_k16	29964	2	14088	1180010	39.4		
genome	g169_GCA_948960965_1	enzyme_k8	23910	1	9936	949958	39.7		
genome	g170_GCF_029088405_1	enzyme_k16	44125	4	16540	1714579	38.9		
