genome	gc	size_bp	n_anchors_k16	n_anchors_k8	scale_match16	scale_match8
g036_GCF_900251065_1	32.62	2880204	17616	14579	163	198
g037_GCF_002905435_1	32.68	2920250	17830	14698	164	199
g038_GCF_018999025_1	32.7	2795662	17217	14249	162	196
g039_GCF_014181205_1	32.72	2781276	17266	14292	161	195
g040_GCF_001971525_1	32.75	2753674	16885	13989	163	197
g041_GCF_900083065_1	32.77	2784561	17244	14267	161	195
g042_GCF_900082305_1	32.8	2861270	17586	14548	163	197
g043_GCF_006364675_1	32.83	2787057	17277	14290	161	195
g044_GCF_900458235_1	32.88	2923343	18064	14897	162	196
g045_GCA_002792115_1	33.22	1329853	9081	7177	146	185
g046_GCA_002254285_1	33.67	2227754	14121	11497	158	194
g047_GCA_029240435_1	34.04	3072272	23157	19283	133	159
g048_GCA_002504695_1	34.49	1661706	13989	11677	119	142
g049_GCA_949024825_1	34.71	1534505	8955	6957	171	221
g050_GCF_925281505_1	34.97	2417094	18934	14887	128	162
g051_GCA_964030905_1	35.04	1414358	9447	7785	150	182
g052_GCA_947444095_1	35.1	2257652	14066	11164	161	202
g053_GCA_902642205_1	35.18	1186085	7846	6465	151	183
g054_GCF_029536375_1	35.27	5659676	38648	29863	146	190
g055_GCA_963976755_1	35.34	2430145	19734	14697	123	165
g056_GCA_964022085_1	35.51	2110270	15186	12279	139	172
g057_GCA_948664835_1	35.63	1103087	7613	6043	145	183
g058_GCF_000322625_1	35.78	2162773	17310	13543	125	160
g059_GCA_949290325_1	36.17	1676068	11039	8733	152	192
g060_GCF_039566805_1	36.56	2011185	15585	12564	129	160
g061_GCF_027153465_1	36.69	2138831	16584	13365	129	160
g062_GCF_013778545_1	36.86	2289178	17838	14424	128	159
g063_GCF_004126365_1	37.11	3090562	23575	18771	131	165
g064_GCF_038899595_1	37.17	3026120	23070	18382	131	165
g065_GCA_018698955_1	37.28	2432151	19656	16117	124	151
g066_GCA_963517675_1	37.36	2842805	21930	17456	130	163
g067_GCA_025268635_1	37.51	1418750	10299	8465	138	168
g068_GCF_002902125_1	37.62	2507403	19110	15534	131	161
g069_GCF_008633485_1	37.75	1813578	15239	12203	119	149
g070_GCF_000729285_1	37.87	2948642	22358	17724	132	166
g071_GCF_029831825_1	37.93	2974132	22440	17793	133	167
g072_GCF_041755645_1	38.02	2921572	22203	17574	132	166
g073_GCA_950075365_1	38.11	1960053	16125	12936	122	152
g074_GCF_039666775_1	38.26	1821678	16200	12802	112	142
g075_GCA_019335925_1	38.38	1828873	16117	12693	113	144
g076_GCA_018374945_1	38.5	3359577	28187	22133	119	152
g077_GCF_006439815_1	38.68	1630094	8204	6263	199	260
g078_GCF_016506385_1	38.76	3921681	29093	23758	135	165
g079_GCA_905193125_1	38.86	2449785	21377	17801	115	138
g080_GCA_030500575_1	38.9	4052437	30963	25307	131	160
g081_GCF_041477265_1	38.97	4016569	29539	24595	136	163
g082_GCF_000582295_1	39.03	3949700	29338	23839	135	166
g083_GCF_028402465_1	39.12	4048359	29738	24265	136	167
g084_GCF_900035615_1	39.3	2432302	21475	16979	113	143
g085_GCF_009721145_1	39.46	2379412	21186	16759	112	142
g086_GCF_001201875_1	39.54	2160666	20854	16457	104	131
g087_GCF_019457365_1	39.58	2074392	20325	16048	102	129
g088_GCF_900063445_2	39.63	2081970	20308	15976	103	130
g089_GCF_900188815_1	39.7	2006382	19775	15635	101	128
g090_GCF_039562545_1	39.75	2038665	20053	15840	102	129
g091_GCA_903843675_1	39.93	1144086	9286	7629	123	150
g092_GCF_963976385_1	40.07	3700404	22255	18353	166	202
g093_GCA_035328325_1	40.3	2533681	14056	11491	180	220
g094_GCF_013012845_1	40.48	2275427	18419	15068	124	151
g095_GCF_003434285_1	40.68	3156369	31415	25844	100	122
g096_GCA_016235125_1	40.94	3575020	26724	21588	134	166
g097_GCA_039802205_1	41.08	2653883	24885	20057	107	132
g098_GCF_014305555_1	41.21	3659119	34407	27686	106	132
g099_GCA_949380125_1	41.3	1975189	18122	14676	109	135
g100_GCF_040141925_1	41.4	4400828	33583	28958	131	152
g101_GCA_948604895_1	41.55	2597427	21280	16515	122	157
g102_GCF_021076085_1	41.7	2320699	21866	17378	106	134
g103_GCA_003463955_1	41.85	6278096	56541	44405	111	141
g104_GCF_001435495_1	41.97	1815830	16853	13377	108	136
g105_GCF_004355265_1	42.12	2009598	17966	13775	112	146
g106_GCA_036152535_1	42.35	2279763	22046	17567	103	130
g107_GCF_002865325_1	42.66	3497293	36412	29615	96	118
g108_GCF_008329425_1	42.85	6468556	60989	47987	106	135
g109_GCF_002285555_1	42.98	3476598	32516	27807	107	125
g110_GCA_948772605_1	43.15	2196870	14260	10047	154	219
g111_GCF_026966615_1	43.23	5244945	50328	39053	104	134
g112_GCF_023571865_1	43.42	4221676	35105	27599	120	153
g113_GCA_948952525_1	43.53	6345635	57723	45151	110	141
g114_GCF_035809495_1	43.67	4057167	33947	26713	120	152
g115_GCA_029573525_1	43.87	3772907	28302	23739	133	159
g116_GCF_036672425_1	44.12	3627843	36108	30719	100	118
g117_GCA_039962665_1	44.29	3703467	35981	30719	103	121
g118_GCA_040266335_1	44.38	1957664	21199	17193	92	114
g119_GCF_025245865_1	44.65	3206930	34155	27322	94	117
g120_GCA_041842105_1	44.74	1745523	15683	11864	111	147
g121_GCA_028719005_1	44.99	1783850	15023	11367	119	157
g122_GCA_029060285_1	45.13	3289599	35262	28522	93	115
g123_GCA_016777485_1	45.27	1733112	16077	12373	108	140
g124_GCA_040219735_1	45.48	7446811	78257	61604	95	121
g125_GCA_003519705_1	45.59	1426583	12144	9345	117	153
g126_GCF_019271115_1	45.69	5392094	46654	39081	116	138
g127_GCA_948886475_1	45.86	3891900	37898	29478	103	132
g128_GCA_016927835_1	46.01	7579817	70363	57822	108	131
g129_GCF_024999605_1	46.21	5370743	48221	40197	111	134
g130_GCA_949461265_1	46.33	3274003	27564	21325	119	154
g131_GCA_949413585_1	46.48	3812206	34626	26986	110	141
g132_GCF_004214385_1	46.69	4957444	49317	41413	101	120
g133_GCA_949011755_1	46.89	2442641	27221	20669	90	118
g134_GCA_949002345_1	47.11	2367381	19462	15917	122	149
g135_GCA_002314945_1	47.29	2691285	33617	26707	80	101
g136_GCA_964017285_1	47.42	3508934	37271	29091	94	121
g137_GCF_001257835_1	47.48	4032637	39927	33795	101	119
g138_GCA_037412465_1	47.54	2921932	27642	23006	106	127
g139_GCF_025370725_1	47.63	7087135	81346	59620	87	119
g140_GCA_944390155_1	47.72	2023380	19831	15703	102	129
g141_GCA_037424235_1	47.85	1479947	11368	8244	130	180
g142_GCA_014804425_1	48.12	3403615	31462	24267	108	140
g143_GCA_949502335_1	48.3	1834340	19830	16143	93	114
g144_GCA_002005365_1	48.41	2688496	22326	18666	120	144
g145_GCA_934320655_1	48.54	2977144	30977	25811	96	115
g146_GCA_947425755_1	48.72	2120438	22087	17611	96	120
g147_GCA_000437915_1	48.84	1508874	12010	8345	126	181
g148_GCF_003044885_1	49.01	2143813	14664	12565	146	171
g149_GCF_949069945_1	49.2	2455203	29712	24078	83	102
g150_GCA_025543235_1	49.33	2539067	25716	20532	99	124
g151_GCA_948865575_1	49.5	1976272	22101	18409	89	107
g152_GCA_030727165_1	49.63	3767799	39524	31421	95	120
g153_GCA_949283865_1	49.88	1997514	21374	15782	93	127
g154_GCA_948893845_1	50.14	2490921	29190	24560	85	101
g155_GCA_017419895_1	50.24	1704375	18092	13693	94	124
g156_GCF_958433895_1	50.28	1989608	20470	14745	97	135
g157_GCA_949280425_1	50.35	4401130	49322	38408	89	115
g158_GCF_001742705_1	50.4	5233118	48946	41577	107	126
g159_GCF_964019865_1	50.43	5049448	47507	40331	106	125
g160_GCF_003981445_1	50.46	4923344	45895	38954	107	126
g161_GCF_006536085_2	50.49	4877468	45805	38937	106	125
g162_GCA_024547185_1	50.52	5203686	48630	41295	107	126
g163_GCF_000171915_1	50.55	5620606	52799	44565	106	126
g164_GCA_949064745_1	50.57	2885032	31756	25286	91	114
g165_GCF_902505135_1	50.59	5475724	51575	43495	106	126
g166_GCF_022546555_1	50.61	5239485	49038	41461	107	126
g167_GCF_021568645_1	50.64	5231769	49201	41702	106	125
g168_GCF_916160955_1	50.66	5035893	47151	40023	107	126
g169_GCA_948960965_1	50.69	2678854	29964	23910	89	112
g170_GCF_029088405_1	50.71	4729913	44125	37438	107	126
g171_GCF_036502285_1	50.74	5187052	48511	41154	107	126
g172_GCF_003175885_1	50.79	4696669	43662	37171	108	126
g173_GCF_012063425_1	50.81	4833299	45039	38238	107	126
g174_GCA_948563135_1	50.91	2583945	23230	19074	111	135
g175_GCF_006350365_1	51.01	4695681	43898	37430	107	125
g176_GCA_002308595_1	51.29	1818744	16115	11774	113	154
g177_GCF_000327845_2	51.51	2240249	17065	13541	131	165
g178_GCA_900553595_1	51.62	1909705	20053	15424	95	124
g179_GCF_900030905_1	51.78	2111624	15895	12591	133	168
g180_GCA_017442365_1	51.82	1902049	21727	17841	88	107
g181_GCF_004331585_1	51.88	5128900	50436	41958	102	122
g182_GCA_900314185_1	51.95	2302892	25536	19457	90	118
g183_GCA_949481365_1	52.03	3107163	33128	26233	94	118
g184_GCF_002591935_1	52.06	1937976	20136	14000	96	138
g185_GCF_034650295_1	52.09	4726695	43213	35989	109	131
g186_GCF_002038305_1	52.13	4641637	42401	35366	109	131
g187_GCF_018915845_1	52.17	4908929	45045	37525	109	131
g188_GCF_002206125_1	52.19	4751306	43402	36234	109	131
g189_GCA_007133475_1	52.22	2586653	28339	23362	91	111
g190_GCA_038114465_1	52.3	3132536	28686	23169	109	135
g191_GCA_964003515_1	52.41	3701533	39049	32222	95	115
g192_GCA_017424875_1	52.61	1627016	19008	15312	86	106
g193_GCA_029060545_1	52.72	2095576	22282	18812	94	111
g194_GCA_027485465_1	52.91	1703749	21382	16297	80	105
g195_GCA_945865265_1	53.09	1498785	17334	12560	86	119
g196_GCF_019720835_1	53.31	4895690	46317	38712	106	126
g197_GCF_002933395_1	53.49	3676833	40401	33066	91	111
g198_GCA_949522585_1	53.64	2844086	26254	21755	108	131
g199_GCA_039679965_1	53.91	2312683	24958	19003	93	122
g200_GCF_029835265_1	54.22	5527607	53088	43897	104	126
g201_GCA_963625655_1	54.58	1618268	16134	11752	100	138
g202_GCA_903844385_1	54.69	2827380	32857	26151	86	108
g203_GCA_002363755_1	54.77	3179075	32413	25090	98	127
g204_GCA_948774725_1	54.96	2175029	20400	16547	107	131
g205_GCF_948789665_1	55.11	2121953	27074	20214	78	105
g206_GCA_949422695_1	55.16	2220929	26121	22168	85	100
g207_GCA_948565955_1	55.39	1811886	19547	16156	93	112
g208_GCA_948603135_1	55.47	1527217	14531	11761	105	130
g209_GCA_039817185_1	55.72	5565852	61948	48796	90	114
g210_GCA_038405435_1	55.91	4960135	43747	35439	113	140
g211_GCA_029007495_1	56.1	2191128	22800	16994	96	129
g212_GCA_017396245_1	56.28	2571471	23628	19028	109	135
g213_GCF_027668885_1	56.41	3058985	26453	19412	116	158
g214_GCF_030715355_1	56.63	6033808	56752	46684	106	129
g215_GCF_026586505_1	56.71	5783807	54654	44972	106	129
g216_GCA_947648575_1	56.83	2741186	26722	17956	103	153
g217_GCF_024158065_1	56.93	3580175	33593	28011	107	128
g218_GCF_964207545_1	56.98	5530155	52034	42892	106	129
g219_GCA_949492765_1	57.04	2233579	24206	15896	92	141
g220_GCF_036997805_1	57.07	5745213	53701	44182	107	130
g221_GCF_038443225_1	57.12	5579572	52204	43009	107	130
g222_GCF_009877425_1	57.15	3813851	40842	29607	93	129
g223_GCF_019334825_1	57.21	5782811	55173	45436	105	127
g224_GCA_947454055_1	57.24	2671137	28932	24091	92	111
g225_GCF_038433245_1	57.28	5567630	52398	43119	106	129
g226_GCA_963707455_1	57.32	5682312	54349	44710	105	127
g227_GCF_033949455_1	57.38	5281767	49819	41068	106	129
g228_GCF_001541345_2	57.55	5754491	65432	54951	88	105
g229_GCA_946529105_1	57.73	2095116	24338	16876	86	124
g230_GCA_945897475_1	57.91	4605277	50403	41537	91	111
g231_GCA_002371755_1	58.07	2427939	25855	20071	94	121
g232_GCF_032058725_1	58.15	4818561	58123	48109	83	100
g233_GCF_934880395_1	58.38	2433280	28613	18300	85	133
g234_GCA_040263415_1	58.55	4093605	46077	36492	89	112
g235_GCA_934533125_1	58.86	2349221	20436	17010	115	138
g236_GCA_003164675_1	59.09	3601913	42732	32930	84	109
g237_GCF_900586345_1	59.22	6061018	67261	56331	90	108
g238_GCF_900599635_1	59.31	5973789	66324	55500	90	108
g239_GCF_022760295_1	59.4	5586294	57473	47430	97	118
g240_GCA_036808565_1	59.59	1881889	16680	12206	113	154
g241_GCF_003856815_1	59.73	2332121	24874	19163	94	122
g242_GCA_022769445_1	59.89	2184897	24298	16620	90	131
g243_GCA_007130865_1	60.06	3728401	54098	36497	69	102
g244_GCF_928381475_1	60.13	2442037	22956	16355	106	149
g245_GCA_947054095_1	60.24	1448517	12998	9843	111	147
g246_GCA_039936335_1	60.41	2627535	27742	22471	95	117
g247_GCA_028067235_1	60.74	1981994	21788	17100	91	116
g248_GCA_900580675_1	60.92	6060443	55725	46000	109	132
g249_GCA_035488895_1	61.08	4393800	50214	40291	88	109
g250_GCF_017167065_1	61.24	5220561	53432	43254	98	121
g251_GCF_017873105_1	61.45	7089096	80838	64594	88	110
g252_GCA_023460005_1	61.79	3106326	27158	19339	114	161
g253_GCF_034045355_1	62.22	4724547	50082	41403	94	114
g254_GCA_019313325_1	62.54	3410111	44990	34131	76	100
g255_GCF_013366925_1	62.79	9492390	105324	87364	90	109
g256_GCF_001807485_1	62.95	2215784	23317	17788	95	125
g257_GCA_949026145_1	63.22	2158016	22776	18675	95	116
g258_GCA_020217075_1	63.4	2286530	21808	18145	105	126
g259_GCA_018829305_1	63.55	3911551	34328	24069	114	163
g260_GCF_020194195_1	63.77	8277742	92878	74020	89	112
g261_GCA_028710795_1	63.89	3056632	26521	22380	115	137
g262_GCA_905373555_1	64.07	1361481	10693	8604	127	158
g263_GCA_031975555_1	64.15	4362302	43704	36100	100	121
g264_GCA_027401555_1	64.44	3035627	33341	25731	91	118
g265_GCF_015840915_1	64.64	3854122	43689	35520	88	109
g266_GCA_023622805_1	64.87	4614419	41035	33406	112	138
g267_GCA_030856025_1	65.17	3392592	45476	34591	75	98
g268_GCA_934644985_1	65.38	2195916	24269	17922	90	123
g269_GCF_008762295_1	65.5	4348268	53038	42397	82	103
g270_GCF_000663285_1	65.58	4423638	54091	43167	82	102
g271_GCF_000656915_1	65.61	4419089	54114	43174	82	102
g272_GCA_019117265_1	65.77	2262032	25712	17753	88	127
g273_GCF_001060435_1	65.86	6944275	66241	51012	105	136
g274_GCF_007896855_1	65.98	6955100	66472	51209	105	136
g275_GCA_027407815_1	66.05	2858321	41526	30731	69	93
g276_GCF_024498955_1	66.17	2717354	25174	20986	108	129
g277_GCA_032015535_1	66.29	4091815	41708	34535	98	118
g278_GCF_040676555_1	66.35	5145317	62110	41301	83	125
g279_GCF_041360765_1	66.41	5973677	60113	47700	99	125
g280_GCA_029863525_1	66.47	3621428	55574	40377	65	90
g281_GCF_036862555_1	66.55	7436265	73644	62180	101	120
g282_GCF_025244705_1	66.71	3796965	37534	29466	101	129
g283_GCA_003515245_1	66.9	5807463	54380	44088	107	132
g284_GCA_040946965_1	67.05	3165918	28402	23081	111	137
g285_GCF_031081925_1	67.16	6066397	54369	41099	112	148
g286_GCA_040376155_1	67.28	4107863	50202	37178	82	110
g287_GCA_023250255_1	67.47	1281616	17660	13360	73	96
g288_GCA_035518775_1	67.76	6048369	60907	48415	99	125
g289_GCF_015477145_1	68.21	6630200	77463	60788	86	109
g290_GCA_001306995_1	68.56	3617426	38761	32052	93	113
g291_GCA_946221955_1	68.83	1742546	16848	12231	103	142
g292_GCA_034428315_1	69.12	2514810	29343	19450	86	129
g293_GCA_034434015_1	69.4	5603500	45212	32299	124	173
g294_GCF_005502825_1	70.17	2971145	39194	27595	76	108
g295_GCA_020853405_1	70.61	3779927	30828	25346	123	149
g296_GCF_025000345_1	71.01	3733919	48973	34681	76	108
g297_GCF_039526725_1	71.68	7893215	91040	64307	87	123
g298_GCF_002240585_1	72.38	3411659	39066	28005	87	122
g299_GCF_002154495_1	73.19	8136809	93410	57933	87	140
