dataset	project	run	sample	label	assay	enzyme_note
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960522	NMIBC_20T	NMIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960527	NMIBC_16T	NMIBC	2bRAD-M	reported or presumed Type IIB; verify per study
bladder_cancer_PRJNA946904	PRJNA946904	SRR23960530	MIBC_15T	MIBC	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655436	B-5	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655448	C-1	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655449	B-2	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655440	C-9	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655432	B-9	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655433	B-8	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655434	B-7	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655438	B-3	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655439	C-10	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655441	C-8	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655444	C-5	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655446	C-3	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655431	B-10	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655435	B-6	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655437	B-4	benign	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655442	C-7	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655447	C-2	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655443	C-6	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655445	C-4	cancer	2bRAD-M	reported or presumed Type IIB; verify per study
ovarian_tumor_PRJNA1005427	PRJNA1005427	SRR25655450	B-1	benign	2bRAD-M	reported or presumed Type IIB; verify per study
urinary_PRJNA1310667	PRJNA1310667	SRR35133179	T2	unknown	2bRAD-M	reported or presumed Type IIB; verify per study
urinary_PRJNA1310667	PRJNA1310667	SRR35145143	human_bladder	unknown	2bRAD-M	reported or presumed Type IIB; verify per study
urinary_PRJNA1310667	PRJNA1310667	SRR35145949	human_bladder	unknown	2bRAD-M	reported or presumed Type IIB; verify per study
urinary_PRJNA1310667	PRJNA1310667	SRR35132212	OENC_DP304_03_qx_01	unknown	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310394	MST.168	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310381	MST.139	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310368	MST.02	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310370	MST.31	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310428	MEC.53	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310385	MST.145	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310390	MST.156	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310399	MST.205	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310400	MEC.01	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310372	MST.38	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310382	MST.141	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310398	MST.196	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310411	MEC.145	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310416	MEC.158	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310389	MST.155	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310409	MEC.141	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310420	MEC.177	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310396	MST.177	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310401	MEC.02	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310405	MEC.122	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310369	MST.19	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310393	MST.165	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310423	MEC.205	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310425	MEC.29	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310367	MST.01	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310417	MEC.165	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310421	MEC.186	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310377	MST.122	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310407	MEC.136	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310414	MEC.155	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310383	MST.142	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310388	MST.154	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310397	MST.186	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310404	MEC.120	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310408	MEC.139	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310418	MEC.167	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310375	MST.101	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310384	MST.143	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310415	MEC.156	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310426	MEC.31	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310387	MST.151	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310391	MST.158	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310395	MST.169	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310403	MEC.101	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310413	MEC.154	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310373	MST.53	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310378	MST.126	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310402	MEC.100	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310406	MEC.123	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310410	MEC.143	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310371	MST.27	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310374	MST.100	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310376	MST.123	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310392	MST.162	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310412	MEC.151	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310422	MEC.19	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310379	MST.130	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310380	MST.136	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310386	MST.146	maternal_feces	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310419	MEC.168	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310424	MEC.27	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310427	MEC.38	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
maternal_infant_CRA019236	PRJCA030517	CRR1310429	MEC.72	infant_meconium	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310433	MK.T2.19	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310432	MK.T2.29	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310459	MK.T2.162	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310437	MK.T2.100	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310474	MK.T4.11	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310467	MK.T4.04	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310436	MK.T2.53	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310445	MK.T2.142	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310457	MK.T2.169	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310466	MK.T4.03	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310440	MK.T2.106	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310444	MK.T2.101	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310476	MK.T4.13	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310448	MK.T2.143	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310460	MK.T2.167	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310469	MK.T4.06	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310450	MK.T2.141	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310461	MK.T2.186	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310481	MK.T4.154	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310430	MK.T2.02	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310447	MK.T2.139	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310453	MK.T2.158	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310484	MK.T4.18	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310435	MK.T2.27	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310458	MK.T2.168	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310482	MK.T4.17	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310442	MK.T2.116	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310455	MK.T2.178	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310456	MK.T2.165	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310468	MK.T4.05	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310483	MK.T4.178	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310439	MK.T2.123	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310452	MK.T2.145	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310464	MK.T4.01	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310438	MK.T2.109	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310443	MK.T2.120	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310454	MK.T2.151	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310478	MK.T4.15	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310441	MK.T2.130	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310463	MK.T2.156	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310472	MK.T4.09	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310473	MK.T4.10	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310434	MK.T2.31	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310451	MK.T2.146	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310475	MK.T4.12	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310479	MK.T4.158	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310462	MK.T2.205	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310470	MK.T4.07	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310480	MK.T4.16	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310485	MK.T4.19	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310431	MK.T2.38	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310446	MK.T2.122	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310449	MK.T2.136	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310465	MK.T4.02	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310471	MK.T4.08	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
breast_milk_CRA019237	PRJCA030517	CRR1310477	MK.T4.14	breast_milk	2bRAD-M	reported or presumed Type IIB; verify per study
